"","Score","Media","Reviewer","Date","Review","Review (Don't)"
"1","70","The New York Times","Charles Isherwood","March 20th, 2014","This latest musical adapted from one of Disney<U+2019>s popular movies defied my dour expectations...<U+201C>Aladdin<U+201D> has an infectious and only mildly syrupy spirit. Not to mention enough baubles, bangles and beading to keep a whole season of <U+201C>RuPaul<U+2019>s Drag Race<U+201D> contestants in runway attire.",""
"2","70","Theatermania","Zachary Stewart","March 20th, 2014","You're going to have a great time at Aladdin, despite its conflict-starved filler of a book. But are you really going for the dramaturgy  No, you're going to see sexy actors sing and dance while performing magic tricks. In that regard, Aladdin delivers in abundance.",""
"3","60","New York Post","Elisabeth Vincentelli","March 20th, 2014","James Monroe Iglehart injects liveliness and humor into a merely tolerable stage adaptation of Disney<U+2019>s animated hit 'Aladdin'.",""
"4","40","Variety","Marilyn Stasio","March 20th, 2014","This super-costly extravaganza doesn't do justice to the movie, or to the spirit of the late Howard Ashman.",""
"5","50","Time Out New York","Adam Feldman","March 20th, 2014","Aside from the tonic of Iglehart<U+2019>s djinn, however, Aladdin is short on magic.",""
"6","75","The Huffington Post","Steven Suskin","May 20th, 2014","Score Aladdin a considerable win for Disney, likely to fill the New Amsterdam with happy crowds for seasons to come. Better than Little Mermaid, Aida and Tarzan, though not exactly a knockout.",""
"7","80","New York Theater","Jonathan Mandell","March 20th, 2014","In Aladdin, the new Disney musical on Broadway, the genie grants theatergoers the first of their wishes <U+2013> to be entertained.",""
"8","35","Talkin' Broadway","Matthew Murray","March 20th, 2014","Everything else in Aladdin is, like the endlessly expansive desert in which it's set, dusty and unwelcoming.",""
"9","70","The Wall Street Journal","Terry Teachout","March 20th, 2014","It's not nearly as good as the movie, but it does have a terrific star, super-duper sets and sensational special effects.",""
"10","70","The Hollywood Reporter","David Rooney","March 20th, 2014","While it doesn't rival the imagination or innovation of  The Lion King,","the show's ebullient comic spirit should make it a popular hit. It's not the most sophisticated entertainment, but the target demographic won't mind at all."
"11","55","New York Magazine / Vulture","Jesse Green","March 20th, 2014","So why is Aladdin a bit of a chore  Even the best of what the writers offer doesn<U+2019>t seem to stick very long; if it weren<U+2019>t for Nicholaw<U+2019>s merciless flogging, you feel the story would simply evaporate in the desert heat.",""
"12","60","New York Daily News","Joe Dziemianowicz","March 20th, 2014","The show is as colorful as the Crayola 64 box, and as tirelessly energetic as a toddler, but it also feels canned. While burning through wishes, you should ask for the musical to have a lot more heart. The absence is glaring, given that Disney excels at tugging at tickers and then making them melt.",""
"13","50","Chicago Tribune","Chris Jones","March 20th, 2014","Much of the show just skedaddles along, hitting the plot points without enough oomph.",""
"14","75","Newsday","Linda Winer","March 20th, 2014","The carpet flies, kids, and it's awesome...Such awesomeness, of course, is to be expected from  Aladdin.  But what's a whole new world, as the song promises, is the almost modest, down-to-earth human scale of director-choreographer Casey  Nicholaw's big, cheerful production -- an enjoyable throwback to old-time musical comedy.",""
"15","40","NorthJersey.com","Robert Feldberg","March 21st, 2014","The show is a flavorless rehash of what's been done much better before.",""
"16","80","CitiTour","Brian Scott Lipton","March 20th, 2014","It may not be completely out of this world, but it will absolutely lift your spirits.",""
"17","95","Theater Pizzazz","Sandi Durell","March 28th, 2014","Disney<U+2019>s latest offering at the New Amsterdam Theatre, is simply . . .<U+00A0> maaaahvelous! The costumes, the sets, the kitsch and comedic fun made me feel like a kid again.",""
"18","45","The Washington Post","Peter Marks","March 20th, 2014","This version of 'Aladdin' will doubtless keep your kiddies happy; for adults, one would like to press Iglehart in the cause of conjuring a desert kingdom of richer enchantments.",""
"19","85","USA Today","Elysa Gardner","March 20th, 2014","It's genie-us! 'Aladdin' rubs you the right way",""
"20","75","Financial Times (UK)","Brendan Lemon","March 21st, 2014","Disney wanted something it could market not only to the parents-with-children crowd but also to date-night couples looking for a few laughs. Wish granted.",""
"21","85","Reflections in the Light","Lauren Yarger","April 5th, 2014","This larger-than-life, stunning visual production that sparkles on many levels really is a treat",""
"22","45","Time Magazine","Richard Zoglin","March 25th, 2014","Aladdin is frisky and fun, another demonstration of Disney professionalism.",""
"23","55","Stage Opinion","Mark Shenton","April 3rd, 2014","This big, busy, splashy family entertainment fits right in; it feels a bit generic, but it certainly delivers in terms of sheer eye-popping spectacle, and is sure to run and run.",""
"24","80","New Jersey Newsroom","Michael Sommers","March 20th, 2014","A lively and good-looking ensemble expertly undulates through the sometimes zany choreography.",""
"25","75","Stu on Broadway","Stu Brown","April 17th, 2014","Aladdin, while charming and fun, lacks the enchantment and savviness of Disney<U+2019>s most notable theatrical productions.",""
"26","50","Disappointing, Overrated  webman843",""," May 3rd, 2017","See it if you have to in order to be happy with your life.","Don't see it if you can be happy without seeing it.="
"27","80","Funny, Clever, Enchanting, Indulgent, Fluffy  Brett Mann",""," April 30th, 2017","See it if you enjoy BIG disney action & script doesn't matter. Buyer beware: expected it to be more for kids than for adults. Humor is DEF for adults.","Don't see it if disney shtick, fluffy musicals, sappy love-stories, scenery-magic & big dance numbers do nothing for you. It's all here. Big feel-good nite.="
"28","84","Delightful, Romantic, Moving, Entertaining, Great singing  eortiz1296",""," April 27th, 2017","See it if You enjoyed the original movie, love Alan Menken, classic Disney, Adam Jacobs, beautiful staging, and want to cry at  Proud of Your Boy","Don't see it if You find new characters and songs unnecessary, slight plot detours irksome, or you're obsessive about the animated movie's perfection="
"29","60","Ambitious, Overrated, Slow, Great staging, Fluffy  Jish",""," April 27th, 2017","See it if you want to see Disney spend the big money on effects","Don't see it if you expect depth of story or characters or anything beyond the movie="
"30","70","Enchanting, Romantic, Disappointing, Overrated  Haruki",""," April 26th, 2017","See it if you're a Disney fan and looking for family-friendly musical.","Don't see it if you expect it to be as good as the Lion King.="
