"","Score","Media","Reviewer","Date","Review","Review (Don't)"
"1","60","The New York Times","Ben Brantley","April 3rd, 2017","It is pleasant to look at, easy to listen to and oddly recessive. It neither offends nor enthralls...'Am<U+00E9>lie' the musical seems to have no nationality, or sensibility, to call its own...All credit to this show<U+2019>s creative team, overseen by the director Pam MacKinnon, for giving coherent life to a tale that exists as much in Am<U+00E9>lie<U+2019>s imagination as in anywhere else...That the show<U+2019>s creators are aware of the potential dangers of cloying cuteness probably accounts for its seeming so subdued.",""
"2","75","Broadway News","Charles Isherwood","April 3rd, 2017","Soo almost single-handedly transforms this sugar-rich, gossamer adaptation of the popular French movie into an emotionally rewarding evening...The show does not condescend to the material, instead choosing to embrace its assorted oddities full-heartedly, even adding some of its own...MacKinnon<U+2019>s status as a relative newcomer to musicals reveals itself in the somewhat cramped staging...Fortunately, front and center for most of the musical<U+2019>s modest duration is the luminous Soo.",""
"3","60","Theatermania","Zachary Stewart","April 3rd, 2017","A tepid take on a much bolder film. Suffering from a derivative score, it features a main character who doesn't seem fully present in her own story...Director MacKinnon does capture the playful editing of the movie with her cinematic and inventive production..Not an unpleasant way to spend two hours; it's just not that memorable. Between its blandly whimsical score and inoffensively quirky love story, we cannot shake the feeling that we've seen this show before.",""
"4","75","BroadwayWorld","Michael Dale","April 5th, 2017","<U+201C>MacKinnon enhances the quirks of the oddball text, set to Mess<U+00E9>'s indie-style music, with a delightful array of surprising, slightly surreal visuals applied with a strong hand that keep the whimsy from floating out of control. Which is fortunate, because 'Amelie' tends to meander about a bit when it comes to storytelling and song placement<U+2026>A low-key charmer. Phillipa Soo plays the young Parisian introvert with sly intelligence that welcomes you to her improvisational life.",""
"5","60","Time Out New York","David Cote","April 3rd, 2017","During this promising but never delivering musical fantasy, you can easily (and frequently) dream up ways the creative team might have better turned the 2001 film into a stage event that didn<U+2019>t cloy and harden into static quirk halfway through...Book writer Lucas and songwriters Mess<U+00E9> and Tysen are at pains to articulate a singable emotional center of the source while staying true to its careening, cinematic narrative. The two duties ultimately cancel each other out.",""
"6","35","Variety","Marilyn Stasio","April 3rd, 2017","It<U+2019>s almost mandatory to have seen the movie if you hope to follow the erratic events of Craig Lucas<U+2019>s twee book...Soo's lovely voice isn<U+2019>t enough to animate the character...As listlessly played by Adam Chanler-Berat, Nino is a case study in vapidity...Messe<U+2019>s music is emphatically insipid, with zero flavor of Paris, and the songs keep landing in awkward moments...In the end, it<U+2019>s just wearying, looking for some logic in all this relentless whimsy.",""
"7","65","The Guardian (UK)","Alexis Soloski","April 3rd, 2017","Blandly enjoyable...There<U+2019>s nothing very much wrong with this musical. The book is affectionate; the songs are inarguably pleasant. But it<U+2019>s tricky to build a show around a protagonist whose main trait is wistful passivity...This is not to diminish the efforts of Soo and the director, Pam MacKinnon...'Am<U+00E9>lie' is the creme brulee of musicals <U+2013> a little sweet, a little mild, but difficult to push away all the same.",""
"8","35","Lighting & Sound America","David Barbour","April 12th, 2017","<U+201C>There's one indisputably great thing about <U+2018>Am<U+00E9>lie,<U+2019> and her name is Phillipa Soo<U+2026>A faux French frolic that consists of nothing but the frothiest conceits and allegedly adorable oddballs, all tethered to a plot so inconsequential that a meringue would weigh it down<U+2026>The songs often feel as skittish as Am<U+00E9>lie<U+2026>In its overreliance on a general mood of winsomeness, it can be something of a trial to sit through.<U+201D>",""
"9","60","New York Theater","Jonathan Mandell","April 8th, 2017","<U+201C>Am<U+00E9>lie<U+2019> features a fine cast; clever, playful design; and a pleasing if unmemorable pop score<U+2026>The colorful characters and fanciful subplots all felt part of the enchanting if ironic swirl on screen<U+2026>The stage at the Walter Kerr, by contrast, feels crowded with details, distractions and digressions that are sometimes hard to follow<U+2026>The musicalized vignettes are often presented like children<U+2019>s theater run amok. The musical has a shorter running time than the movie, but it feels longer.",""
"10","85","Theater Life","David Sheward","April 6th, 2017","Director Pam MacKinnon proves she is as adept at staging enchanting adult fables as she is at enlivening dramas...The Gallic bon-bon features a sweet score by Daniel Messe and Nathan Tysen, a tidy book by Craig Lucas, and an enchanting lead performances by a spritely Phillipa Soo...A versatile ensemble delivering memorable work...At a fast 100 minutes, 'Am<U+00E9>lie' is a sweet and tasty creme br<U+00FB>l<U+00E9>e of a show.",""
"11","60","Talkin' Broadway","Matthew Murray","April 3rd, 2017","Phillipa Soo is loaded with charm and knows how to use it to make the new musical 'Am<U+00E9>lie' something more than it could ever be on its own...But Soo's shimmering central presence only amplifies the troubles around her. Bookwriter Craig Lucas, composer-lyricist Daniel Mess<U+00E9>, lyricist Nathan Tysen, and director Pam MacKinnon may have been ultra faithful as far as the letter in escorting this quirky movie to the stage, but the underlying spirit is nowhere to be found.",""
"12","30","The Huffington Post","Michael Glitz","April 10th, 2017","<U+201C>Stars Soo and Chanler-Berat can sing very well but you wouldn<U+2019>t know it from the ungainly melodies they<U+2019>re asked to tackle<U+2026>The book is faithful to the movie in every detail except the one that matters: its spirit<U+2026>They seem to have made the wrong choice at every turn...Soo does not display the star power that this role desperately needs. That<U+2019>s not quite fair since no one could bring this story as written to life. Still, the charming Chanler-Berat does bring us in more.",""
"13","55","AM New York","Matt Windman","April 3rd, 2017","Soo, looking stunning, gives a winning, seemingly effortless performance, and there are nice supporting turns from Adam Chanler-Berat as Am<U+00E9>lie<U+2019>s sensitive crush and Tony Sheldon as her elderly neighbor...You appreciate their hard work, but it doesn<U+2019>t really come together...The soft pop score occasionally sounds pretty but is mostly unmemorable and derivative...The episodic structure leaves little in the way of advancing the plot. It<U+2019>s got plenty of charm, but that only goes so far.",""
"14","40","The Hollywood Reporter","David Rooney","April 3rd, 2017","This grating stage musical takes the slenderest of romances and drowns it in cartoonish quirks in place of genuine warmth or feeling...Moments that don't cry out to be musicalized get slathered in song, while others where music might have helped go unsung...With more swinging doors than most farces, this is a show that manages to be simultaneously frenetic and inert...The talented cast fights a losing battle to give these annoyingly artificial characters life.",""
"15","55","New York Magazine / Vulture","Jesse Green","April 3rd, 2017","Am<U+00E9>lie the character and thus 'Am<U+00E9>lie' the show remain alluringly, maddeningly remote...When a narrative is held together by tone instead of the working out of interpersonal conflict...there<U+2019>s no bright line between what<U+2019>s pertinent and what isn<U+2019>t...As a result, MacKinnon<U+2019>s staging, which has little choice but to underline the aesthetic, develops a bad case of nonspecific where-the-heck-is-this , often leaving the audience more amused than informed.",""
"16","55","New York Daily News","Joe Dziemianowicz","April 3rd, 2017","The Broadway musical adaptation is simply pleasant<U+2014>at least when it isn't plodding...Virtually all signs of Frenchness are gone in director MacKinnon<U+2019>s staging...Soo is lovely and her crystalline singing has every bit as much pull as Tautou<U+2019>s big brown peepers. If only Mess<U+00E9> and Tysen had given Soo something outstanding to sing...'Times are hard for dreamers,' the heroine observes. The same goes for audiences dreaming that this show would transcend, or even match, the movie.",""
"17","45","Times Square Chronicles","Suzanna Bowling","April 7th, 2017","<U+201C>Vocally Soo is perfect<U+2026>The problem is her journey is so banal that we don<U+2019>t really care<U+2026>Chanler-Berat has wonderful chemistry with Soo<U+2026>The cast is all talented<U+2026>The direction by MacKinnon is well done for what the material allows...The biggest problem here is nothing really happens and what does is like a Hallmark card without the substance<U+2026>The music is monotonous<U+2026><U+2018>Am<U+00E9>lie<U+2019>  misses the complexity of a girl who has several layers to her.",""
"18","85","Deadline","Jeremy Gerard","April 3rd, 2017","I had the luxury of seeing 'Am<U+00E9>lie' twice, and I admit to finding its charms more readily revealed on second viewing, The score, for one thing, is more sophisticated than a single hearing suggests, and perhaps more cunning...The authors, along with MacKinnon, avoid gratuitous winking, trusting both 'Am<U+00E9>lie' and Am<U+00E9>lie to work their charms. You<U+2019>ll buy it, or you won<U+2019>t. By the end, I was a bit in love, even if <U+2013> as so often is the case with the real thing <U+2013> it wasn<U+2019>t at first sight.",""
"19","60","Theater In The Now","Michael Block","April 8th, 2017","<U+201C>Fluffy and sweet. And that<U+2019>s about it...<U+2018>Amelie<U+2019> is a delectable world of whimsy and joy but the overall execution is mediocre at best. You want to root for <U+2018>Amelie,<U+2019> both the character and the show, but it often gets in its own way<U+2026>The score was very much the Achilles<U+2019> heel of the production<U+2026>Soo is delightful<U+2026>But the character gave her little to play with so her full potential didn<U+2019>t shine through<U+2026><U+2018>Amelie<U+2019> is a middle of the pack musical. It<U+2019>s not great, but it<U+2019>s not bad.",""
