"","Score","Media","Reviewer","Date","Review","Review (Don't)"
"1","40","The New York Times","Ben Brantley","April 24th, 2017","The amnesiac title character of 'Anastasia' isn<U+2019>t alone in suffering a serious identity crisis. The postcard-scenic show that bears her name has its own troubling case of multiple personality disorder...The show in which she appears trembles nonstop with internal conflicts during its drawn-out two-and-a-half hours...The cartoon version from 1997 is very fondly remembered by people who saw it as tweens...Those without such nostalgic insulation are likely to find this 'Anastasia' a chore.",""
"2","70","Theatermania","Zachary Stewart","April 24th, 2017","Undeniably entertaining, but also relevant to the magical thinking that seems to have overtaken so much of the world...There are plenty of great performances in 'Anastasia'...Sporting a bright and clear voice, Altomare is amiable as Anya, but not nearly enough of a presence to sustain this central role...In moments, 'Anastasia' seems to transcend its cartoonish origins and become something one might not expect from the title: a serious Broadway musical.",""
"3","80","BroadwayWorld","Michael Dale","April 26th, 2017","<U+201C>No, that's not some forgotten Golden Age musical floating effervescently across the Broadhurst stage, but <U+2018>Anastasia<U+2019> sure has the old-fashioned romantic feel of one<U+2026>Director Darko Tresnjak's charming production is played on designer Alexander Dodge's simple unit set that frames storybook projections by Aaron Rhyne<U+2026>While the story may be told in broad strokes, <U+2018>Anastasia's<U+2019> attractively traditional score, good humor and winning performances make it a family-friendly delight.",""
"4","85","Time Out New York","Adam Feldman","April 24th, 2017","The happiest surprise is how consistently good the musical turns out to be. Smartly adapted by Terrence McNally from the 1997 animated film...with Stephen Flaherty and Lynn Ahrens impressively expanding their score...'Anastasia' is a sweeping adventure, romance and historical epic whose fine craftsmanship will satisfy musical-theater fans beyond the show<U+2019>s ideal audience of teenage girls...'Anastasia' is the richest and fullest family show to hit Broadway in years.",""
"5","60","Lighting & Sound America","David Barbour","April 25th, 2017","<U+201C><U+2018>Anastasia' is mostly interested in platitudes and rose-colored romance<U+2026>It's tough to care about a cast of characters that includes a leading lady with no fixed identity, a pair of grifters, and a bitter old recluse; nevertheless, the principals do their best to put over the improbable plot<U+2026>If you're in the mood for this kind of colorful Barbara Cartland nonsense, 'Anastasia' goes down pretty easily, although Tresnjak's direction never really isolates the juicy melodrama at the show's heart.",""
"6","70","DC Theatre Scene","Jonathan Mandell","April 24th, 2017","'Anastasia' winds up promoting nostalgia for the last reign of the Romanovs, those elegantly attired autocrats who sponsored pogroms against the Jews...If the songs don<U+2019>t offer the same power or allure as their scores for 'Ragtime,' they are a clever and melodic enough accompaniment for what is the real strength of this production<U+2013>its beautiful design and its wonderful cast...How the plot plays out will surprise no one, but there are some palpable delights along the way.",""
"7","40","Cultural Weekly","David Sheward","May 1st, 2017","It may go over with the 'Wicked'-'Annie'-'Matilda' tween-girl crowd, but this live cartoon is not for adults...Tresnjak<U+2019>s broadly played production is like one of those combination rides and shows at Disney World...Echoes of greater musicals abound...The competent cast led by Altomare and Klena earn their paychecks but rarely rise above the stale script. Only Caroline O<U+2019>Connor as a buffoonish countess and Mary Beth Peil as the stern Empress create an original impression.",""
"8","85","Variety","Frank Rizzo","April 24th, 2017","A sumptuous fairy tale of a musical that should please the kids, satisfy the sentimental and comfort those who thought the old templates for musical comedy were pass<U+00E9>. The broad strokes of the familiar<U+2014>a romantic young couple, a villain in hot pursuit, comic supporting characters<U+2014>can still be irresistible when combined with taste, craftsmanship and a willing suspension of disbelief. Director Tresnjak, together with much of that first-class design team, weave an enchanting spell.",""
"9","65","Talkin' Broadway","Matthew Murray","April 24th, 2017","For all these smart changes, this 'Anastasia' fails to completely escape the influence of its cartoony forebear...Everything is technically proficient. It's just also too vanilla to linger long in your mind, or at all in your heart. At least Tresnjak's staging is slick, handsome, and fast-moving...To do justice to Anastasia's story, there must be genuine risks, genuine losses, and genuine feelings that go beyond surface-level, cookie-cutter emotions and their matching songs.",""
"10","75","AM New York","Matt Windman","April 24th, 2017","An uneven but well-meaning and mostly pleasant new Broadway musical...The highlights of the score are the pretty power ballads from the film...Too much time is filled with drawn-out scenes and new songs (also by Ahrens and Flaherty) that are not as memorable...As directed by Tresnjak, it looks elegant, moves seamlessly and makes unusually great use of background digital projections. Christy Altomare is smashing as Anya, with powerhouse vocals full of spark and sensitive yearning.",""
