"","Score","Media","Reviewer","Date","Review","Review (Don't)"
"1","80","Broadway News","Charles Isherwood","April 26th, 2017","Some of its material may be straight from the stock shelves, but 'Bandstand' has more than a few fresh notes up its sleeve<U+2014>mostly blue ones...Blankenbuehler infuses the proceedings with a surging dynamism that virtually never lets up...Cott rips into the role of Donny with a vitality that scrubs away any of the role<U+2019>s surface familiarity...Osnes, too, deserves some major love for revitalizing what might be a plain-Jane ing<U+00E9>nue role...It<U+2019>s a populist crowd-pleaser.",""
"2","90","BroadwayWorld","Michael Dale","April 27th, 2017","Exhilarating, adventurous and immensely moving...As toe-tapping entertaining as it is poignant...The writing and acting is perfectly on pitch...Director/choreographer Andy Blankenbuehler's slam-bang production, continually on the move, ingeniously uses his ensemble to not only express the new freedoms post-war Americans felt with the latest dance crazes, but also to symbolize the internal struggle of its heroic main characters.",""
"3","85","Time Out New York","Adam Feldman","April 26th, 2017","<U+201C>The resonant original musical <U+2018>Bandstand' dances a delicate line between nostalgia and disillusion<U+2026>The terrific group dance numbers burst with snazzy individuality. But 'Bandstand's' heart is in its shadows...As the stakes rise, the score moves from pleasurable pastiche to a climax whose impassioned call for attention to the plight of veterans recalls the socially engaged lyrics of E.Y. Harburg. The show defies you not to be moved by its valiant band of brothers.<U+201D>",""
"4","85","Theatermania","David Gordon","April 26th, 2017","<U+201C><U+2018>Bandstand<U+2019> explores the undeniable power that art has to change the world<U+2026>It also benefits from first-rate direction and choreography by Andy Blankenbuehler<U+2026>In terms of style, 'Bandstand' is refreshingly old-fashioned<U+2026>Osnes performs her two big numbers with a blistering intensity that is thrilling to behold. While not all of the songs fit comfortably in Cott's range, his work is as alive as it gets. It's an exhilarating, star-making turn.",""
"5","60","The New York Times","Alexis Soloski","April 26th, 2017","<U+201C>An undercooked slice of apple pie, served with a dollop of anguish<U+2026>It<U+2019>s respectful of veterans, but not of itself, ultimately quitting on its own ambitions...Mr. Cott has a crushing charisma<U+2026>Ms. Osnes, a brunette with a silvery voice, puts real feeling behind Julia<U+2019>s loss<U+2026>But even fine actors can<U+2019>t make this story more persuasive. If <U+2018>Bandstand<U+2019> really worked, the finale would find you laughing and crying. Instead, you might just make like the dancers and shrug.",""
"6","35","The Hollywood Reporter","Frank Scheck","April 26th, 2017","<U+201C>While many of the numbers have the propulsive feel of big-band swing, none of them are particularly memorable, and the generic ballads frequently stop the show dead in its tracks<U+2026>Cott and Osnes are highly attractive and appealing performers, and they sing the hell out of their material<U+2026>But for all the strenuous effort and good intentions evident in <U+2018>Bandstand,<U+2019> it mainly demonstrates that if you<U+2019>re going to drop the name Dachau in a musical, it needs to be far better than this one.",""
"7","80","Lighting & Sound America","David Barbour","April 27th, 2017","All of these songs unfold in an onstage world jittery with energy, maddened by an irresistible swing beat, thanks to the tightly coiled staging of director/choreographer Blankenbuehler...Cott drives the action as Donny, offering galvanic vocals...Osnes finds a surprising (and welcome) amount of steel in Julia...Even in its more formulaic moments, the show continues to surprise. And its central point remains steadfast: These men risked everything for their country<U+2014>attention must be paid.",""
"8","70","New York Theater","Jonathan Mandell","April 29th, 2017","The cast is pitch-perfect...The catchy, beat-happy score pays homage to the big band era...Director and choreographer Andy Blankenbuehler seamlessly nods to 1940s popular dances in coming up with some lively, inventive moves, performed by some terrific dancers...All of this terrific entertainment and artistry is arranged around a plot that also recalls the 1940s, but ultimately not in a good way...The more the singing contest takes over the plot...the more the plot stumbles.",""
"9","75","Cultural Weekly","David Sheward","May 1st, 2017","Employing identically dressed chorus members, Blankenbuehler creates a shattered hall-of-mirrors vision of protagonist Donny<U+2019>s wartime memories...The plot follows a cliched track...Fortunately, Taylor and Oberacker delve deep into the traumas suffered by Donny and his crew and the score cleverly uses period music to create mood and explore the theme of the vets<U+2019> alienation...'Bandstand' does sing a familiar tune, but it has drawn up some new and arresting arrangements.",""
"10","65","Variety","Frank Rizzo","April 26th, 2017","<U+201C>An earnest and often-entertaining musical that never quite achieves its noble ambitions. Despite the fluid staging and evocative choreography by Andy Blankenbuehler, an uneven book, undistinguished dialogue and only-serviceable tunes keep the show from meeting its deeper, darker and good-intentioned aspirations<U+2026>Oberacker pens the mood-setting, pleasant and easily forgettable pastiche songs and lyrics...The cast is made up of solid performers, most of who play their own instruments.",""
"11","60","Front Row Center","Tulis McCall","May 2nd, 2017","<U+201C>What saves this from death by saccharine is the raw nerves of these veterans<U+2026>It is their story that trails after you when you leave...It is too bad that the authors were not able to take a pair of clippers to the book, and the stunning lack of a resolution doesn<U+2019>t help<U+2026>Cott and Osnes positively crackle and the ensemble work is spectacular in every way. But the basics of <U+2018>beginning, middle and end<U+2019> got left behind at the train depot. And all the big band music doesn<U+2019>t quite make up for that.",""
"12","70","Talkin' Broadway","Matthew Murray","April 26th, 2017","<U+201C>The conflict between what is and what should be is the powerful driving force behind this compelling evening<U+2026>Oberacker and Taylor have created a heartfelt show that works well on its own terms...The music is of the bold and infectious variety<U+2026>Too often, however, the songs aren't memorable<U+2026>Blankenbuehler fares better, his staging brisk and fluid<U+2026>Cott makes an arresting leading man<U+2026>Osnes looks and sounds smashing, though she could dig a bit deeper to find more of Julia's defining darkness.",""
"13","70","Broadway Blog","Samuel L. Leiter","April 27th, 2017","<U+201C>A sincere, upbeat, but overly sudsy and clich<U+00E9>d musical<U+2026>They deserve a chutzpah Tony for creating a show in which the central characters are musicians who play, not the actual big band swing of 1945, when the show is set, but pastiches<U+2026>While 'Bandstand' never overcomes the impediment of its ersatz tunes, exciting director-choreographer Andy Blankenbuehler keeps our eyes and ears glued to his inventive staging, jitterbugging, and boogie-woogieing.",""
"14","95","The Huffington Post","David Finkle","April 26th, 2017","<U+201C>It<U+2019>s not going too far to suggest that the enthralling musical beats with the kind of heart that throbs throughout <U+2018>South Pacific<U+2019><U+2026>Arguably the best new musical of the season<U+2026>Oberacker and Taylor have written a work that brims with honesty<U+2026>Osnes gives the performance of her career so far. The voice is pure as mountain water<U+2026>The purity of her acting is what lifts her into a new performing stratum. Less well known, Cott finds every dimension of heartsick, furious, talented Donny.<U+201D>",""
"15","55","The Wall Street Journal","Terry Teachout","April 24th, 2017","The first act is straight off the rack, a concatenation of bone-tired clich<U+00E9>s strung together on an unexpectedly interesting premise. The second act isn<U+2019>t any more original, but it<U+2019>s more agreeable, and you<U+2019>ll likely feel that you<U+2019>ve been sufficiently entertained by the time the curtain falls...Corey Cott and Laura Osnes, who play the bandleader and his vocalist, are fresh-faced and appealing...The kind of unchallenging show to which you might feel inclined to take your visiting grandparents.",""
