,Username,Location,Age,Sex
26,Ellen D, East Brunswick , 50-64 , Female  
27,melbel, New York City , 18-24 , Female    
28,Bibliobiophile, New York City , 25-34 , Female     
29,CJ S, Los Angeles , 18-24 , Male        
30,PATRICIA 3, Manhattan , 65+ , Female  
31,John 2376, New York City , 65+ , Male  
32,Ralph 5, 50-64 ,, Male
33,Richard 6212, Manhattan , 50-64 , Male  
34,EmilyT, Manhattan , 25-34 , Female     
35,Cate M., New York City , 25-34 , Female  
36,eortiz1296, Manhattan , 18-24 , Female    
37,Shari L, New York City , 50-64 , Female    
38,Joe Cab, Manhattan ,, Male
39,Ken 13, Manhattan , 65+ , Male  
40,Tim 6156, Manhattan , 25-34 , Male  
41,Alice 6119, Brooklyn ,, Female
42,Ray of Light, Pasadena , 35-49 , Male    
43,MirandaS, Fairfax,,
44,Mark 6293, Hoboken,,
45,Rebeccam21, New York City , 18-24 , Female  
46,Christopher C 2, Jamaica Plain , 50-64 , Male  
47,Cherine, Borough of Bronx , 35-49 , Female  
48,Diffs92, Albany , 18-24 , Female  
49,DIRECTORCHICK, New York City ,, Female
50,Noel C, Reading , 25-34 , Female     
51,Alix Cohen,,,
52,Roma Torre,,,
53,Sandi Durell,,,
54,Michael Musto, , ,
55,Charles Wright,,,
56,David NouNou, , ,  
57,Thomas Burns Scully,,,
58,Patrick Maley,,,
59,Alison Durkee,,,
60,Sheila Kogan,,,
61,Breanne L. Heldman,,,
62,David Freedlander,,,
63,Ariana Starr,,,
64,Bob Goepfert,,,
65,Hayley Levitt,,,
66,Marina Kennedy, , , 
67,Michael Glitz,,,
68,Simon Saltzman,,,
69,Michael Sommers,,,
70,Stephen Collins,,,
71,Kevin Filipski,,,
72,R. Jones,,,
73,Tracy W, Manhattan , 35-49 , Female  
74,David 626377, Merrifield , 65+ , Male    
75,A2016, New York City , 35-49 , Female  
76,Denniss, Massapequa , 65+ , Male  
77,Harriet, Brooklyn,,
78,Lori 7044, Manhattan,,
79,Barbara H 6125, Lynbrook , 50-64 , Female  
