"","Score","Media","Reviewer","Date","Review","Review (Don't)"
"1","70","The New York Times","Ben Brantley","January 12th, 2014","Beautiful: The Carole King Musical<U+201D> should probably be titled <U+201C>Brooklyn Girl.<U+201D> This renaming would allow theatergoers to know exactly what to expect of the friendly, formulaic bio-musical.",""
"2","75","Theatermania","Zachary Stewart","January 12th, 2014","Director Marc Bruni has taken the gift of a smart and economical script and run with it. Amid lightning-quick transitions, this show only decelerates when it wants to. Split-second costume changes (designer Alejo Vietti must be a witch) add to the magic and fun of the evening.",""
"3","65","Variety","Marilyn Stasio","January 12th, 2014","The early life and career of legendary singer-songwriter Carole King surely deserves more imaginative treatment than the corny chronological storytelling and old-fashioned musical format of <U+201C>Beautiful.<U+201D>  But all is forgiven, whenever Jessie Mueller, in the modest person of Carole King, sits down at the piano and pours heart and soul into familiar favorites from the composer<U+2019>s songbook.",""
"4","75","New York Theater","Jonathan Mandell","January 12th, 2014","<U+201C>Beautiful,<U+201D> is beautifully performed and tuneful new entertainment.The story serves as an efficient delivery system for Carole King<U+2019>s surprisingly diverse hits <U+2013> not much more, nothing less.",""
"5","60","Talkin' Broadway","Matthew Murray","January 12th, 2014","Though Beautiful is ultra-slick and impeccably executed for what it is, electrifying it is not.",""
"6","70","The Huffington Post","David Finkle","January 12th, 2014","Before we get to what's wrong with Beautiful: The Carole King Musical, let's establish what's so right that it instantly joins the ranks of irresistible jukebox tuners. In other words, it should have a long and healthy run, if, the producers can either convince Jessie Mueller to remain in the title role forever or if they can find replacements as enormously talented as she is.",""
"7","80","The Hollywood Reporter","David Rooney","January 12th, 2014","McGrath, director Marc Bruni and the appealing performers don<U+2019>t exactly break that mold by going for complexity. But while keeping things light and breezy, they have populated Beautiful with well-defined characters with relatable human foibles.",""
"8","40","New York Magazine / Vulture","Jesse Green","January 12th, 2014","Perhaps such material can<U+2019>t be well directed, but we will never know. What I can say is that Marc Bruni certainly hasn<U+2019>t improved it. The show is full of clunky transitions, dead space, scenes that peter out until someone mercifully snaps off the lights.",""
"9","70","New York Daily News","Joe Dziemianowicz","January 12th, 2014","King made magic with her catalogue and it is an unqualified treat to hear her best-known hits  performed live...Too bad a great musical isn<U+2019>t only about the music. The book is crucial, too <U+2014> and this show<U+2019>s connect-the-dots story line is so simplistic that the extravagantly talented King<U+2019>s life emerges as a mundane version of the long-suffering little woman.",""
"10","95","CitiTour","Brian Scott Lipton","November 17th, 2015","'Beautiful' takes the early life story <U+2013> and music <U+2013> of the legendary singer-songwriter Carole King to create one of the most entertaining Broadway shows in years. All of the necessary elements have come together here, from a surprisingly smart and witty book by Douglas McGrath, smooth direction by Marc Bruni, and the work of a consistently top-notch cast. As a result, audiences leave with a song on their lips, a smile on their face, and even a tingle in their heart.",""
