"","Score","Media","Reviewer","Date","Review","Review (Don't)"
"1","85","The New York Times","Charles Isherwood","December 1st, 2016","It doesn<U+2019>t break ground or dazzle with an unusual recipe, but it delivers reliable pleasures with polished professionalism and infectious energy...If there<U+2019>s a secret ingredient that gives the musical version a zest, it is the wonderful score...Certainly not without its formulaic or sentimental aspects. Few mainstream musicals are. But it captures both the milieu it evokes and the colorful characters who populate it with a buoyancy and humor that ultimately won me over.",""
"2","35","Variety","Marilyn Stasio","December 1st, 2016","Credit director Jerry Zaks (and co-director Robert De Niro) with terrific casting...Let<U+2019>s face it, this ill-advised musical version, with an anemic score by Alan Menken and Glenn Slater, isn<U+2019>t going to send <U+2019>em dancing up the aisles. While there are fun things to be found, like those jailbait Doo-Wop Guys singing and snapping a cappella under the streetlight, the music is soggier than overcooked meatballs and the lyrics have absolutely no bite...Sergio Trujillo<U+2019>s choreography is a snooze.",""
"3","35","Time Out New York","Adam Feldman","December 2nd, 2016","There goes the neighborhood. Just when it was getting cool to go to a Broadway musical, along comes the lumbering and hackneyed 'A Bronx Tale'...A musically unmemorable mix of sappiness and contrived melodrama...Aside from Machiavelli-quoting mobster Bobby<U+2014>played with expertly calibrated swagger by Nick Cordero<U+2014>none of the characters command interest, and Alan Menken and Glenn Slater<U+2019>s doo-wop<U+2013>heavy score is far too lightweight for a plot that features murders.",""
"4","70","Theatermania","Hayley Levitt","December 2nd, 2016","When a property has been waxed to a commercial Broadway shine as this one has at the Longacre Theatre, it's hard to locate the cracks and crevices that originally gave it character. But when the rhythms and melodies of the story's milieu are fully engaged in painting the picture of this microcosm on Belmont Avenue, 'A Bronx Tale: The Musical' is completely captivating.",""
"5","60","The Guardian (UK)","Alexis Soloski","December 2nd, 2016","A reasonably enjoyable period piece<U+2026>But whereas some shows swing for the fences, this is one doesn<U+2019>t aim much further than second base. This is a premiere that feels more like a revival and comes shrink-wrapped in its own nostalgia<U+2026>Most of the pop, ballad and doo-wop numbers are satisfying, though forgettable...There<U+2019>s not much that<U+2019>s surprising in the show<U+2019>s look or its dance sequences...It is well served by its leads, particularly the rumble-voiced Cordero.",""
"6","75","The Hollywood Reporter","Frank Scheck","December 1st, 2016","Because it resembles an urban fairy tale, Palminteri<U+2019>s story works even better as a musical than it has in its earlier incarnations where its stereotypical aspects felt more glaring...'A Bronx Tale'<U+2014>in the second half, packed with a succession of melodramatic incidents<U+2014>can feel rushed and unconvincing...While the score doesn<U+2019>t feature any breakout songs, it is tuneful and fun...Though hardly sophisticated entertainment, 'A Bronx Tale' has genuine charms.",""
"7","45","Lighting & Sound America","David Barbour","December 2nd, 2016","What might have been a gut-punch melodrama ends up a half-hearted musical bildungsroman...Palminteri's book only roughs it in, and the often tuneful and literate songs don't dig deeply enough under the story's surface to reach the primal emotions underneath...Directors DeNiro and Zaks have delivered a brisk, efficient production, which, nevertheless, lacks the flavor of life...How is it that a show with murders, beatings, family secrets, and shocking betrayals, ultimately seems so weightless",""
"8","70","The Huffington Post","Steven Suskin","December 1st, 2016","Too many of the songs are inconsequential, which serves to dilute those ingratiating, low-brow, mob-infused charms which won audiences over in the first (and second) place...'A Bronx Tale' is unlikely to work without a strong performance in the central role of the gangster Sonny. Fortunately, Nick Cordero carries the musical with aplomb...'A Bronx Tale' gets a passing grade, and might well prove a crowdpleaser; but 'Jersey Boys,' it<U+2019>s not.",""
"9","65","New York Theater","Jonathan Mandell","December 9th, 2016","The characters feel borrowed from 'Jersey Boys' and 'Guys and Dolls,' the plot in Act II from 'West Side Story.' And Alan Menken<U+2019>s score, a pleasing if generic mix of doo-wop and Motown and Broadway ballads, manages to make 'A Bronx Tale' feel like an old jukebox musical...'A Bronx Tale' is unlikely to make anybody<U+2019>s top 10 list. But the show is also unlikely to disappoint theatergoers nostalgic for the old neighborhood and the old-time Broadway show.",""
"10","65","Talkin' Broadway","Matthew Murray","December 1st, 2016","If you know you want a lot of liquidy doo-wop music, non-threatening fights and fake-looking Molotov cocktails, an aww-inducing love story, and two showy, starry central performances from Bobby Conte Thornton and Nick Cordero, then rest assured that's what you'll get, with nothing else getting in the way...Earworm wrangler Menken is in solid form here...But none of it causes your spine to tingle or your eyes to leak...There are far worse ways to burn off a couple of hours.",""
