,Username,Location,Age,Sex
26,Bibliobiophile, New York City , 25-34 , Female     
27,John 2376, New York City , 65+ , Male  
28,beth 42, Central Islip , 50-64 , Female  
29,eortiz1296, Manhattan , 18-24 , Female    
30,Adam G123, New York City , 35-49 , Male  
31,Bobby Baby, Manhattan , 50-64 , Male  
32,TheaterGeekNYC, Manhattan , 25-34 , Female    
33,Cate M., New York City , 25-34 , Female  
34,Jeryl M, South Old Bridge , 50-64 , Female      
35,AmyAmyAmy63, Manhattan , 50-64 , Female  
36,Kayla Coleman, Rochester ,, Female
37,Member 70402511, Manhattan,,
38,Bette T, New York City , 50-64 , Female  
39,Bruce 6, New York City , 65+ , Male  
40,TheaterGuy, Manhattan , 35-49 , Male  
41,Polly 7089, New York City ,, Female
42,Veronica S, New York City , 18-24 , Female  
43,annie 18, New York City , 50-64 , Female  
44,Wanderlust, Manhattan , 35-49 , Female  
45,Irene 6083, Manhattan , 65+ , Female  
46,TheatreRat, New York City ,, Male
47,Britney, New York City,,
48,Brandon S, Salt Lake City ,, Male
49,Izagma, New York City , 50-64 , Female    
50,David T, Manhattan , 35-49 , Male  
51,Brian Scott Lipton,,,
52,Alix Cohen,,,
53,Janice C. Simpson, , ,  
54,William Wolf,,,
55,Roma Torre,,,
56,Joel Benjamin,,,
57,Max McGuinness,,,
58,Elysa Gardner,,,
59,Michael Musto, , ,
60,Richard Seff,,,
61,JK Clarke,,,
62,Lauren Yarger,,,
63,Matthew Wexler, , ,  
64,Rex Reed,,,
65,David NouNou, , ,  
66,Dan Dwyer, , , 
67,Michael Feingold,,,
68,Mark Shenton,,,
69,Tami Shaloum,,,
70,Jeff Myhre,,,
71,Patrick Maley,,,
72,Sheila Kogan,,,
73,Dave Quinn,,,
74,Juliet Hindell,,,
75,Alicia Kort,,,
76,Ken G, Manhattan,,
77,Suehodd, Brooklyn,,
78,Christopher H 6188, Roselle , 35-49 , Male  
79,Laurie R, Manhattan , 35-49 , Female      
80,Margaret 3, New York City , 65+ , Female  
81,Cat Heinen, New York City , 18-24 , Female     
82,tapeworthy, New York City , 35-49 , Female     
83,Audrey S, New York City , 65+ , Female  
84,Irvin, Hutchinson , 18-24 , Male     
85,TR, Brooklyn , 50-64 , Male  
86,Mrs. Lovett, Manhattan ,, Female
87,Theater Third Eye, Manhattan , 50-64 , Male  
88,Tom 6090, Fairfield ,, Male
89,Kevin A 6126, Manhattan , 25-34 , Male  
90,Linda 22, Hutchinson , 65+ , Female  
91,Ashowgoer, New York City , 35-49 , Male  
92,Nicole A, Jersey City , 18-24 , Female    
93,EmDee, New York City , 35-49 , Female    
94,Ann 4, New York City,,
95,MIGUEL 6089, New York City , 35-49 , Male      
96,moonchange, Manhattan , 25-34 , Female  
97,Sophia C, New York City , 13-17 , Female     
98,Jasmine P, Long Island City ,, Female
99,Jasmine 4, New York City , 35-49 , Female    
100,Angelica 8, Borough of Queens , 25-34 , Female  
101,Aja Romano,,,
102,Frank Rizzo,,,
103,Michael Giltz,,,
104,Simon Saltzman,,,
105,Ryan Leeds,,,
106,stephanie 35, Fort Lee , 18-24 , Female  
107,Cristina 3, San Antonio , 35-49 , Female  
108,Donald 9, Long Island City , 50-64 , Male  
109,Ellen 26, New York City ,, Female
110,Bill 8, Manhattan , 35-49 , Male  
111,Susan HW, Milford Mill , 65+ , Female  
112,DEClarke85, Jersey City , 25-34 , Male       
113,Jeff L 6259, Borough of Bronx , 50-64 , Male  
114,DoubleDReviews, New York City , 18-24 , Female     
115,M 608343, Hoboken,,
116,Ryan L 6131, Manhattan ,, Male
117,michael 6068, Jamaica , 65+ , Female  
