"","Score","Media","Reviewer","Date","Review","Review (Don't)"
"1","85","The New York Times","Ben Brantley","March 12th, 2017","A big bearhug of a musical...Even the most stalwart cynics may have trouble staying dry-eyed during this portrait of heroic hospitality under extraordinary pressure...'Come From Away' is smarter than it first appears...The show covers a vast expanse of sensitive material with a respect for its complexity...It sustains an air of improvisational urgency, which feels appropriate to a show about making do in crisis, and it doesn<U+2019>t linger on obvious moments of heartbreak and humanity.",""
"2","95","BroadwayWorld","Michael Dale","March 12th, 2017","'Come From Away,' the inspiring, funny and kick-ass beautiful new musical...takes a true story that began on September 11th, 2001, and tells it in an exhilarating fashion that celebrates decency and human kindness...Director Christopher Ashley's production seamlessly moves from tense moments to humorous ones to unabashedly joyous ones...As long as 'Come From Away' is playing on Broadway, I will recommend it to everyone. Everyone.",""
"3","65","Variety","Marilyn Stasio","March 12th, 2017","The cast is a hearty group and so good-natured they really put the lyrics across...Ashley keeps the traffic moving smartly...But there<U+2019>s no getting away from it<U+2014>as broad representatives from both camps of hosts and guests, the characters have no character...By the end of the show, the characters are scarcely more defined than they were at the beginning, and the monotonous music may be pounding on your head. But the intentions of the show are so heartfelt.",""
"4","80","Time Out New York","Adam Feldman","March 12th, 2017","A swelling heart of a musical...'Come from Away's' multiple narratives mostly have low stakes...When it touches on weightier concerns it falters; it is better at celebrating less consequential things...Under Christopher Ashley<U+2019>s fluid direction, the 12 versatile actors form a true ensemble cast...Despite minor stumbles of craft, 'Come from Away' makes a persuasive case for the value of good intentions. For this kind of uplift you don<U+2019>t need planes.",""
"5","80","Theatermania","David Gordon","March 12th, 2017","A show that everybody needs to see...A thoroughly moving experience, brimming with humanity and tolerance. Admittedly, it's not without its flaws; Sankoff and Hein's sweet Celtic melodies have a tendency to blend in together, and the book could afford to flesh out certain situations with greater depth. But Ashley's fast-paced staging is mesmerizing, Devine's foot-stomping choreography is joyful, and an awesome onstage jam band plays Eriksmoen's driving orchestrations with excitement.",""
"6","85","The Hollywood Reporter","Frank Scheck","March 12th, 2017","Creators Sankoff and Hein have crafted a heartwarming and thoroughly entertaining musical...Despite the doubling and tripling of roles, the numerous characters are all vividly rendered, thanks to the skillfulness of the writing and performances...Although not particularly memorable, the music proves consistently engaging and serves the story line beautifully...Serving as a welcome reminder of people<U+2019>s inherent goodness, 'Come From Away' is the feel-good show of the season.",""
"7","85","Lighting & Sound America","David Barbour","March 20th, 2017","Without making a fuss or employing dubious dazzlements, stirs one to the core...Under Christopher Ashley's swiftly paced, emotionally astute direction, a company of only twelve portrays everyone with seeming effortlessness...There are moments when, in its portrayal of such universal goodwill, 'Come From Away' flirts with becoming cutesy or too insistently upbeat; time and again, however, it steps back from the brink, reminding us that a world-shaking tragedy is taking place.",""
"8","90","The Huffington Post","Steven Suskin","March 12th, 2017","<U+201C>Altogether different and altogether gripping. Written with heart and skill by Sankoff and Hein<U+2026>creatively and lucidly directed by Christopher Ashley, and performed by a wildly talented cast...The piece is not merely uplifting but entertaining as well...What looks to be the significant success of this new musical stems from the fact that even the most cynical among us is likely to be deeply touched.",""
"9","80","DC Theatre Scene","Jonathan Mandell","March 12th, 2017","I was worried that 'Come From Away' would be triggering. But the exact opposite occurred. The Canadian songwriting team of Sankoff and Hein are so eager to please that 'Come From Away' keeps a safe distance from the horror of 9/11...'Come From Away' is certainly feel good<U+2013>also rhythmic, well staged, often funny...Much of the appeal of 'Come From Away' comes not from individual performances but from the precise and lively ensemble work, aided by an eight-piece band.",""
"10","75","Theater Life","David Sheward","March 20th, 2017","<U+201C>Yes, the book is episodic and the songs are a bit treacly here and there...However, Sankoff and Hein resist these Lifetime-TV temptations for the most part, leavening syrupy <U+2018>feel-good<U+2019> tropes with sharp wit and memorable, Gaelic-flavored music. Director Ashley keeps the many characters and settings clear with a precise, fluid direction and strong, detail-laden performances<U+2026>'Come From Away' offers a reassuring and heartening take on the earth-shattering event.",""
"11","80","Front Row Center","Tulis McCall","March 13th, 2017","Greater than the sum of its parts. The script is iffy. The music is not exceptional. The sound is so loud that the lyrics are often unintelligible. The talent, it should be noted is not iffy one little bit...No one will leave untouched by this show...The cast is beautifully directed and choreographed. Each actor plays more than one part, and their characterizations are so defined that we never, not for an instant, are lost in the transitions.",""
