"","Score","Media","Reviewer","Date","Review","Review (Don't)"
"1","75","The New York Times","Charles Isherwood","July 31st, 2016","<U+201C>The overriding spirit of the revival appears to be the familiar motto: Don<U+2019>t mess with success...The most significant nod to the intervening decades and changing tastes is the hiring of Andy Blankenbuehler...The felines prance and romp and occasionally hiss at one another as they introduce themselves in songs that provide the show<U+2019>s greatest allure, as well as its variety. Mr. Lloyd Webber is a musical magpie...The cast for the revival is largely excellent.",""
"2","60","Theatermania","Zachary Stewart","July 31st, 2016","Nunn seems to have revisited the material with the attitude, 'If it ain't broke, don't fix it.' Despite new choreography and cutting-edge lighting, it still carries a retro vibe...Plot is ancillary to a beautiful fantasy conveyed through music and dance...Still, if you look around and see the remarkable creativity and innovation happening on Broadway these days, it is hard to view this production as anything more than a museum piece.",""
"3","75","BroadwayWorld","Michael Dale","July 31st, 2016","A sweet and endearing revival...While not every role requires triple-threat expertise, 'Cats' makes some serious acting, singing and dancing demands on its company and Nunn's litter is packed with terrific performers...Pop star Leona Lewis has been cast as Grizabella. She has no acting credits in her bio and it shows, making the evening's climactic moment a sad letdown.",""
"4","30","Time Out New York","David Cote","July 31st, 2016","<U+201C>This was a lost opportunity. Rather than lamely re-creating the original, why not orchestrate the score for acoustic instruments, redo the costumes and dances, and find fresh drama underneath the tacky, dated pageantry  Instead we get a taxidermied pet. If there is heart to the piece, it<U+2019>s Grizabella, the faded, outcast 'glamour cat.' British crooner Leona Lewis has a big, yearning voice, but even her (heavily amplified) yowling of 'Memory' can<U+2019>t make the past worth revisiting.<U+201D>",""
"5","80","Variety","Marilyn Stasio","July 31st, 2016","<U+201C>Memories could be fatal to this revival<U+2014>specifically, the memory of Betty Buckley as Grizabella, singing <U+2018>Memory'...Leona Lewis isn<U+2019>t in her league. Happily, nothing as catty can be said of the rest of this fabulous revival of the 1981 musical phenom...A corps of brilliant dancers leap with feline agility through every style of dance, from toe-tapping Broadway jazz steps to the classic ballet moves...The genius of the show is in the dancing...The dancers are in perfectly splendid form.",""
"6","75","The Hollywood Reporter","Frank Scheck","July 31st, 2016","Only hardcore fans will be able to spot the differences in this new version...The biggest change is the new choreography by Andy Blankenbuehler...More athletic and stylistically diverse than before, the dancing here is particularly spectacular...Lewis reveals her lack of acting experience with her less than galvanizing Grizabella, but her powerful singing is not to be faulted...Enough time has passed for a new generation of theatergoers to embrace the show.",""
"7","70","Lighting & Sound America","David Barbour","August 8th, 2016","<U+201C>Trevor Nunn's production gives this 35-year-old show the sparkle and precision of a brand-new hit...Best of all is a cast superbly equipped to mine every bit of entertainment value in this extremely peculiar material...It's hard to escape the feeling that a very casual piece of source material has been blown up far beyond its limits into something only intermittently charming-and often perplexing...If you're a 'Cats' person, you're probably going to have a great time.",""
"8","80","The Stage (UK)","Jonathan Mandell","August 1st, 2016","The first Broadway revival of 'Cats,' which is neither wholly reimagined nor an exact replica of the original, is unlikely to turn off 'Cats'-lovers, nor win over 'Cats'-loathers. It works best as a showcase for the energetic young cast and what it does best <U+2013> which is dance...If the lyrics are largely lost in the swirl, Andrew Lloyd Webber<U+2019>s score holds up. The performances, though, are uneven.",""
"9","65","Front Row Center","Tulis McCall","August 5th, 2016","'Cats' is pure spectacle<U+2026>It is shimmering, leaping, booty shaking spectacle. There should be a Tony for the ensemble of dancers in this production. They ARE the production<U+2026>Ms. Lewis appears uncertain of what she should do onstage. An actor she is not.  A mighty singer she is...After a bit, all these impeccably costumed folks begin to blend together in a tabby tuffet that becomes too much of a good thing.",""
"10","70","Talkin' Broadway","Matthew Murray","July 31st, 2016","Your destination is a good time. The musical gets you there with haste and precision under ideal conditions; this revival still manages, though it trips up more than it ought to...These stumbles are primarily due to the new choreography...Blankenbuehler's dances are attractive and kinetic almost to the point of being needlessly busy...Is it ever going to be a revered classic  Doubtful...But this production proves, despite its missteps, that it's capable of harnessing pure theatrical enjoyment.",""
