"","Score","Media","Reviewer","Date","Review","Review (Don't)"
"1","55","The New York Times","Ben Brantley","April 23rd, 2017","This big but tentative show doesn<U+2019>t burst with flavor of any kind, not during its exposition-crammed first act. Only in its second half does the show acquire a distinct taste and it isn<U+2019>t confectionary...The idea of macabre punishment seems to have acted as a stimulant on the creative faculties of everyone involved as the show turns increasingly surreal...Most gratifying is the transformation of Borle...Willy switches into dissing diva mode with a skip in his step and a fork in his tongue.","="
"2","45","Theatermania","Zachary Stewart","April 23rd, 2017","Incorporating songs from the film, it seems to present itself as earnest entertainment for children and nostalgic adults. Grieg's caustic book and Shaiman and Wittman's pastiche score, on the other hand, feels like a beast with much sharper talons...The show gets considerably better in the second act, when it becomes the Christian Borle show. He exudes a manic genius that fits the eccentric candy industrialist...He can't save everything though...A musical that doesn't know what it wants to be.","="
"3","35","Time Out New York","David Cote","April 23rd, 2017","Joyless, shapeless and grating...a stale Necco wafer of a musical...O<U+2019>Brien directs this dull, clunky adaptation of the book and movie with none of the wit of the former nor the dreamy wonder of the latter. Maybe kids will enjoy the gaudy design and veneer of sassy satire, but when you bite down, there<U+2019>s only empty shell. Younger audiences can cheer, but adults are bound to conclude that 'Charlie' is like what happens with an Everlasting Gobstopper: lots of sucking.","="
"4","40","Variety","Marilyn Stasio","April 23rd, 2017","The uncanny darkness of Dahl<U+2019>s imagination has been lightened and brightened in helmer Jack O<U+2019>Brien<U+2019>s mechanized production...While visually droll, too many of the gimmicks distract from the story and encourage the cartoon treatment of characters as caricatures. Happily, the character of Charlie Bucket escapes this mishandling...Ryan Foust was the best thing in the show...As played by Borle, Willy Wonka's much too charming and lacks the aura of stranger-danger.","="
"5","60","Lighting & Sound America","David Barbour","May 1st, 2017","If it is hardly the best musical on Broadway, it is surely the most improved...The book suffers from the fact that it takes an entire act to get to the chocolate factory...The second act is, quite possibly, the most macabre children's entertainment ever...If 'Charlie' isn't likely to entertain adults looking for a sophisticated Broadway musical, it is probably just the thing for parents looking to take the kids to a show. They aren't likely to notice its less-than-seamless assembly.","="
"6","55","New York Theater","Jonathan Mandell","April 26th, 2017","<U+201C>The overall effect manages to be too obvious and yet too bland...I have nothing especially negative to say about most of the performances, including Borle<U+2019>s, although nothing especially positive to say about the actors portraying the four insufferable children who won the sought-after golden tickets<U+2026>Their ends are clearly meant to be clever, but don<U+2019>t sparkle in the execution<U+2026>I suspect there are enough moments to make the show at least intermittently enjoyable for adult chaperones.<U+201D>",""
"7","55","Theater Life","David Sheward","May 6th, 2017","<U+201C>Neither relevant nor even consistently entertaining, but it does provide the occasional guilty-pleasure shot of sweetness...Unfortunately these are few and far between<U+2026>This uneven kiddie show takes us on a roller-coaster ride with too many flat stretches<U+2026>The old tunes remain sources of delight as do a handful of the newer ones. But David Greig<U+2019>s book misses the strong narrative drive of the original and the cinema versions.<U+201D>","="
"8","5","Talkin' Broadway","Matthew Murray","April 23rd, 2017","It's just bad: plain, simple, and totally. Although, to be fair, it does keep one-upping itself<U+2014>this is not a musical that's willing to settle for second-worst...Should have been a slam-dunk property...This show rebukes all of that potential, as well as stamping out the material's warmth and charm...As for Shaiman and Wittman's score, it's shallow and tacky, by leagues the pair's weakest work for Broadway...A massive, melty mess.","="
"9","75","Broadway Blog","Samuel L. Leiter","April 25th, 2017","<U+201C>Although not a fan of Dahl's high-calorie story even I found some of it satisfying and delicious<U+2026>While no show could compete with Hollywood's special effects, there's plenty of cleverness displayed in the gimmicky scenery<U+2026>and ingenious staging. The child-unfriendly ways that punish the plot's entitled brats are a hoot, and even queasy stomachs will likely ingest such comic images as people bursting into purple goop or dismembered by squirrels.<U+201D>",""
"10","35","The Huffington Post","David Finkle","April 23rd, 2017","<U+201C>There<U+2019>s enough on-stage pizzazz to keep the pre-teens charged and cheering...I have to report that the sweets dispensed here have no appeal for me...The primary problem is with Greig<U+2019>s prolific book, which, among other things, is all over the place...In regards to humor, of which <U+2018>Charlie and the Chocolate Factory<U+2019> is totally devoid: book writer Greig is unable to land a single joke...Given the wafer-thin meager material, the cast members are pretty much left to fend for themselves.<U+201D>",""
"11","0","AM New York","Matt Windman","April 23rd, 2017","Disastrous and distasteful...An ultra-aggressive, play-it-up silliness pervades every aspect of the show, turning what is a tender and fanciful story into a loud and brash frenzy...There is a desperate quality to Borle<U+2019>s upbeat performance. He pushes too hard, resorting to increasingly larger antics in an attempt to win over the crowd...The new songs by Marc Shaiman and Scott Wittman are terrible.","="
"12","10","The Hollywood Reporter","David Rooney","April 23rd, 2017","The perversely charmless new musical will have little to offer grown-up audiences. Kids might find more to enjoy in this frantic Frankenstein's monster of a show, but that doesn't make it less of a misfire...This choc-atrocity has got to rank as one of the most aesthetically off-putting family musicals in memory...Between O'Brien's hyperactive direction and Thompson's biliously colorful designs, there's little to love...Spare yourself the empty calories.","="
