"","Score","Media","Reviewer","Date","Review","Review (Don't)"
"1","100","The New York Times","Ben Brantley","November 15th, 1996","The pulse-racing revival of the musical ''Chicago,'' involves a cast of top-flight artists perfectly mated to their parts and some of the sexiest, most sophisticated dancing seen on Broadway in years...The America portrayed onstage may be a vision of hell, but the way it's being presented flies us right into musical heaven.",""
"2","100","Talkin' Broadway","Matthew Murray","November 14th, 2002","Chicago is as good now as it's ever been--a heartening experience, a life-affirming dedication to the magic and art of theatre, and something that absolutely should not be missed. Though all shows must eventually close, the glory and genius of Chicago should be celebrated while it's here, and with any luck, it will still be gracing and energizing Broadway for many years to come.",""
"3","80","Theatermania","David Finkle","August 4th, 2003","Cynics predicted that the big-screen opus would mean the end of the show's Gotham run, but the opposite has occurred for this Encores!-originated revival...the show is now an SRO proposition. During intermission, audience members may be heard debating the comparative merits of the live and canned treatments.",""
"4","100","CurtainUp","Elyse Sommer","November 20th, 1996","What it's all about: 'murder, greed, corruption, violence, exploitation, adultery and treachery.' Of course what it's also about is sensational dancing, singing, acting...and, fun! No razzle-dazzle mechanical props, just the razzle-dazzle of a company of gifted performers delivering two hours and twenty minutes of show-stopping numbers.",""
"5","85","Theatermania","Brian Scott Lipton","September 7th, 2006","Broadway's busiest revolving door, better known as the nearly 10-year-old revival of Chicago, has someone new passing through: the R&B superstar with the single moniker of Usher...while he's a good two or three decades younger than most of his predecessors, the tuxedo fits decently enough.",""
"6","95","The Associated Press","Michael Kuchwara","November 18th, 2002","A lot of Broadway musicals don't age very well, but the long-running revival of 'Chicago' seems to have discovered the fountain of youth. The score's catchy melodies are potent, toe-tapping reminders of music from the late 1920s, while the lyrics are snappy, pointed and often very funny.",""
"7","90","Theatermania","Andy Propst","October 22nd, 2011","The Broadway revival of John Kander and Fred Ebb's Chicago, may be on the verge of celebrating its 15th anniversary, but one could hardly tell the production has recently entered the upper echelon of long-running shows on Broadway. There's a crispness to the entire piece of Chicago, that belies its age.",""
"8","95","OoCities","Richard Zoglin","November 25th, 1996","The stunning revival of Chicago that just opened on Broadway ought to win over any doubters. Chicago hasn't merely aged well; it has come of age...A show that doesn't just give us the old razzle-dazzle; it glows.",""
"9","95","New York Daily News","Howard Kissel","November 14th, 1996","Because the revival of  Chicago  is so wildly entertaining, I'm hesitant to call it important, always an ugly adjective for a reviewer to use...What makes this revival important, is that it reminds us that musicals are about songs and performers, not scenery. When you have material and performances as dynamic as this, you don't need chandeliers.",""
"10","100","Variety","Greg Evans","November 23rd, 1996","If the Kander & Ebb style can be described in one word, it<U+2019>s showstopper. And though their detractors might argue that the tenacity can be wearying, they<U+2019>ll find scant support for that position in <U+201C>Chicago.<U+201D> Even in a concert staging, the momentum starts high and gets higher.",""
"11","100","Hello Beautiful","Danielle Young","June 2nd, 2015","Starring alongside Broadway legend, Amra-Faye Wright, Brandy held her own. Her voice sends goosebumps up your spine, or could it be that you know every woman in the cast has killed someone...  Brandy was lovable as the fiendish, but coy criminal. Her acting was spot-on and her voice was the cherry on top. 'Chicago' is exciting, sexy and absolutely ridiculous and taking that ride with Brandy was one of the most enjoyable Broadway experiences I<U+2019>ve had in a long time.",""
"12","65","Great writing, Dated, Great staging  webman843",""," May 3rd, 2017","See it if you have never seen it. You have to see it at least once. Also, if you're big on dance shows","Don't see it if you don't like minimal production value or cast members that are TOO OLD to still be in the show."
"13","75","Overrated, Dated, Entertaining, Great dancing, Historic  Brett Mann",""," April 30th, 2017","See it if historic broadway musicals are always must-see for you. This still stands the test of time because of its historic choreography. That's it.","Don't see it if fluffy/silly, dated shows don't cut it. For theater-history buffs, it still makes the grade. This production is more tourists than purists.="
"14","78","Edgy, Raunchy, Indulgent, Dated, Great staging  eortiz1296",""," April 28th, 2017","See it if You like shows with darker plots and themes, seductively flashy aesthetics, jazzy Broadway numbers","Don't see it if You're not a fan of risqu<U+00E9> characters and clothing, want something lighter="
"15","80","Raunchy, Cliched, Great staging  Haruki",""," April 26th, 2017","See it if you don't have kids and seeing a Broadway show for the first time.","Don't see it if you've seen it somewhere else or on film. The recent cast isn't as good as it used to be.="
"16","70","Cliched, Dated, Great choreography  Cakescrapper",""," April 7th, 2017","See it if you want to see one of the longest-running musicals on broadway, if you like jazz and glitz.","Don't see it if you want something fresh and groundbreaking. I loved it when I saw it around two decades ago, but it's a little dated now.="
"17","91","Absorbing, Clever, Delightful, Great acting, Entertaining  Kayla Coleman",""," April 7th, 2017","See it if You want something old school.","Don't see it if You want something new and modern="
"18","85","Clever, Thought-provoking, Raunchy, Entertaining, Great staging  Anthony C 6081",""," April 6th, 2017","See it if you love Kander and Ebb, traditional musical theatre and a good story.","Don't see it if you want flashy musicals with lots of special effects, only like contemporary musicals."
"19","69","Raunchy, Disappointing, Overrated, Dated, Great singing  R. L.",""," April 5th, 2017","See it if you never have before","Don't see it if you are expecting a show that won 6 Tony awards="
"20","54","Edgy, Disappointing, Entertaining  Gail 7095",""," April 5th, 2017","See it if you need a point of comparison from the excellent movie.","Don't see it if if dark stories don't entertain you.="
"21","57","Dizzying, Disappointing, Overrated, Slow, Great staging  Polly 7089",""," March 30th, 2017","See it if You're curious about this long-running show.","Don't see it if You've already seen the movie."
"22","73","Disappointing, Entertaining  Member 70402511",""," March 30th, 2017","See it if You like familiar songs and great dancing.","Don't see it if You expect to see a show with lots of dancing.="
"23","55","Funny, Great writing, Disappointing, Cliched, Dated  Gilbert D.",""," March 29th, 2017","See it if You love the score to this great show or if a celebrity of your liking is in the show.","Don't see it if You want a fresh Broadway show. This show seems very tired..."
"24","87","Delightful, Entertaining, Great dancing  Muppetina",""," March 29th, 2017","See it if you like an energetic, classic musical with sensational singing and dancing.","Don't see it if you're not a fan of musicals, you're not a fan of great dancing or you don't enjoy Kander & Ebb."
"25","40","Disappointing, Dated, Tired  Ryan M",""," March 29th, 2017","See it if You want to see a show that unfortunately has been running far too long and lost its luster. And in an attempt to glow brighter casts...","Don't see it if Underwhelming past their prime celebrities that do nothing but cheese and sell tickets to tourists who don't know any better.="
"26","86","Delightful, Entertaining  Bruce 6302",""," March 16th, 2017","See it if You want to be entertained by wonderful music and dance","Don't see it if You only like dramas.="
"27","80","Absorbing, Delightful, Must see, Entertaining, Classic  NRussotto",""," March 16th, 2017","See it if you'd like to see one of Kander and Ebb's enduring classics; you get to see it with a cast of Broadway hands who can make the material sing.","Don't see it if You're drawn in to seeing it with leads who can't dance or aren't Broadway stalwarts; you don't like minimal stagings or Kander and Ebb."
"28","88","Funny, Clever, Must see, Entertaining, Great singing  Suehodd",""," March 6th, 2017","See it if you love a great musical","Don't see it if you don't like great singing and dancing="
"29","86","Masterful, Romantic, Entertaining  Cat Heinen",""," March 4th, 2017","See it if Classic Fosse reigns supreme at the Ambassador Theatre. Always a quality show for friends, date night, family (not younger than 7).","Don't see it if You don't enjoy classic musical theatre/are bored with this show.="
"30","87","Absorbing, Clever, Edgy, Great singing  Kate D 7019",""," February 13th, 2017","See it if you love simple stripped down sets to fully enjoy the fabulous singing and dancing this show exhibits. Classic musical that always delivers","Don't see it if You dont like a plot that involves romanticizing murder or basic set designs"
"31","60","Overrated, Entertaining  stephanie 35",""," February 7th, 2017","See it if You enjoy the movie and music from Chicago","Don't see it if You want a thought provoking show="
"32","73","Dated, Entertaining, Classic  Serena C",""," January 11th, 2017","See it if you haven't yet. It's a classic Broadway show that has some great musical numbers and some humor.","Don't see it if you're looking for a modern production. This show feels a little tired and dated. The costumes are risqu<U+00E9> and it makes light of murder.="
"33","90","Delightful, Intelligent, Refreshing, Entertaining  don",""," December 29th, 2016","See it if you enjoy the old time musicals. Loved it at Encores before it made it's revival on Broadway. Look for your favorite to take the female lead","Don't see it if you just dislike musical theater at its best="
"34","62","Great writing, Disappointing, Overrated  Jish",""," December 23rd, 2016","See it if you love the terrific score and can overlook a sub-par production.","Don't see it if you expect a fully realized production.=Also Just watch the movie - much better!="
