"","Score","Media","Reviewer","Date","Review","Review (Don't)"
"1","95","The New York Times","Charles Isherwood","December 4th, 2016","The marvelous young actor Ben Platt is giving a performance that<U+2019>s not likely to be bettered on Broadway this season. What<U+2019>s more, this gorgeous heartbreaker of a musical has grown in emotional potency during its journey to the big leagues...The musical finds endless nuances in the relationships among its characters...Under the superb direction of the veteran Michael Greif, the show has been subtly refined, its brasher comedy softened, and the performances have grown in delicacy.",""
"2","90","Variety","Marilyn Stasio","December 4th, 2016","Not since 'Next to Normal' has a score tapped so deeply into the troubled psyche of its needy protagonist...The lyrics go beyond the spoken thought and reach for the unspoken feelings hiding behind the words. Better yet, there<U+2019>s not a hint of sentimentality...Under the thoughtful direction of Greif, Platt goes beyond physical specificity to get under Evan<U+2019>s skin and into his unsettled mind.  And the introspective, gentle score becomes the language of his troubled thoughts and yearnings.",""
"3","100","Time Out New York","Adam Feldman","December 4th, 2016","Platt is giving one of the greatest leading male performances I<U+2019>ve ever seen in a musical, and the thrillingly modern and moving 'Dear Evan Hansen' is worthy of it...The musical benefits mightily from Greif<U+2019>s dynamic direction, Korins<U+2019>s vivid set design, Nigrini's cascading projections and an excellent cast...Benj Pasek and Justin Paul<U+2019>s score brims with tuneful and thoughtful songs...And Levenson<U+2019>s book is unfailingly smart...'Dear Evan Hansen' must be seen to be believed.",""
"4","95","Theatermania","Hayley Levitt","December 4th, 2016","Ben Platt is stripped down to his emotional skivvies for us voyeurs to judge, gawk at, and pity. His breathtaking performance in the show's title role is just one of the reasons Pasek, Paul, and Levenson's new musical moves audiences to their feet before the lights even come down...This musical offers a truly 21st-century story...The composers strike a balance between substance and popular appeal with memorable melodies and character-driven lyrics.",""
"5","90","Lighting & Sound America","David Barbour","December 16th, 2016","The whole sorry story is treated by the authors with a remarkable double vision, keeping us engaged with Evan as he careens ever closer to disaster...The songs similarly combine real feeling with sharp-eyed observation as they briskly move the story along...Greif's staging is both well-paced and nuanced, never losing sight of the heartbreak at the story's center; he has also assembled a cast of performers who wear their characters like old clothes.",""
"6","100","The Huffington Post","Steven Suskin","December 4th, 2016","One of the strongest scores in years. The songs are not merely tuneful and funny and touching; Pasek and Paul can plumb the inner depths of their characters and rip through emotions in words and music...Levenson has given us an impressive book which tackles a difficult subject with warmth and humor...Platt is altogether extraordinary...The actors around him are universally excellent...The show continues the progression of astonishing musicals on Broadway.",""
"7","90","DC Theatre Scene","Jonathan Mandell","December 4th, 2016","'Dear Evan Hansen' has changed now that it<U+2019>s on Broadway, in ways that make it an even more affecting musical. Ben Platt<U+2019>s performance, impressive from the get-go, is even better...The transfer feels seamless. The unchanged score holds up, comprised of the same tuneful and moving songs...All give superb performances. Platt has toned down his nervousness <U+2013> he fidgets less <U+2013> which makes his performance all the more credible, all the more heartbreaking.",""
"8","70","Talkin' Broadway","Matthew Murray","December 4th, 2016","If I'm not quite prepared to say that Platt is giving the best performance I've ever seen a male actor give in a musical, it's darn close<U+2014>undoubtedly in the top five. Alas, too much of the rest of 'Evan Hansen' fails to ascend to Platt's exalted level...Fancy staging can't easily conjure electricity from no component materials, and, compelling though Levenson's writing may be, it cries out for a charge Pasek and Paul simply do not provide...Platt, though, provides all he can and then some.",""
"9","80","The Clyde Fitch Report","David Finkle","December 5th, 2016","It<U+2019>s a shame that a late and sizable script shortcoming lowers the rank of this tuner from surpassing musical treat to compromised excellence...The fair approach is to rave about 'Dear Evan Hansen<U+2018>s' outstanding elements, starting with Platt<U+2019>s star-making performance. Surely, too, the place to start is with Levenson<U+2019>s original book...Bolstered by Pasek and Paul<U+2019>s energetic music...They all lack the courage of their dramatic convictions, and thus contrive for Evan an unearned redemption.",""
"10","90","The Wall Street Journal","Terry Teachout","December 5th, 2016","It<U+2019>s smartly crafted, emotionally open-hearted and ideally cast. What<U+2019>s more, it<U+2019>s pitched to and has been embraced by millennials...yet its appeal is universal...Michael Greif has staged 'Dear Evan Hansen' with fluid, fast-moving simplicity...The score is not quite as strong as Steven Levenson<U+2019>s ingenious book...Still, the songs work on their own terms, and the book is strong enough that it could be done on its own as a play...The best musical to open on Broadway since 'Hamilton.'",""
"11","95","AM New York","Matt Windman","December 4th, 2016","A smart, deeply felt and altogether extraordinary new musical...Pasek and Paul have crafted a haunting soft rock score that is neatly integrated into Levenson<U+2019>s captivating book. Greif presents a tight and compelling production built around finely-textured ensemble acting and a seamless visual design of shifting panels and floating video imagery. Platt is giving one of the most vulnerable and shaded performances you<U+2019>ve ever seen.",""
"12","95","The Hollywood Reporter","David Rooney","December 4th, 2016","What's perhaps most distinctive about Pasek and Paul's melodic emo-pop score is how beautifully it captures the peaks and valleys of adolescence, in the thoughtful lyrics and in the music itself...Playwright Steven Levenson matches the musical components beat for beat in his terrific book, which sets up with persuasive conviction what could easily have been a contrived premise...Across the board, the ensemble is superb, each of them registering rich moments of emotional complexity.",""
"13","95","New York Magazine / Vulture","Jesse Green","December 4th, 2016","So fine in its craft and rich in its gathering of themes that it rewards being seen again<U+2014>and again...Platt imbues the character with so much pathos and lively detail that he succeeds as the story<U+2019>s engine despite being almost pathologically passive...That Levenson has been able to find spots for humor at all in this grippingly sad story, and that Pasek and Paul have been able to turn those opportunities into songs of comic relief is a sign of the size of the ideas in play.",""
"14","95","New York Daily News","Joe Dziemianowicz","December 4th, 2016","Platt nails each shifting mood and tone as a socially inept outcast. Original and up-to-the-minute, the musical has a lot to say<U+2014>about parents and children, social media, and more...Stirring ballads and rousing group songs in the vibrant, varied score by Benj Pasek and Justin Paul ooze emotions. Director Michael Greif excels at guiding actors through complex stories<U+2014>and his work has never been better...The show's so satisfying it deserves a thank-you note.",""
"15","100","Times Square Chronicles","Suzanna Bowling","December 4th, 2016","With its near perfect score by Benj Pasek and Justin Paul...Subtle direction by Michael Grief, combined with a layered and truthful book by Steven Levenson, it has Tony Awards written all over it. Add to that the winning performances by the cast, especially Ben Platt, this musical will get under your skin and speak to you in so many ways...Here is an original musical that didn<U+2019>t skip any steps, wraps its audience in its arms and allows the music, the story and the characters to do their jobs.",""
"16","90","Deadline","Jeremy Gerard","December 4th, 2016","The score by Pasek and Paul is packed with engaging tunes and insightful lyrics. The book by Levenson portrays teen angst taken beyond the normal boundaries with compelling dignity...Platt plays the title role in a movingly sensitive, career-making performance...Platt seems more to inhabit Evan than to merely portray him...The score soars, bringing us along with it. 'Dear Evan Hansen' is an intimate show with a gigantic heart.",""
