"","Score","Media","Reviewer","Date","Review","Review (Don't)"
"1","90","The New York Times","Ben Brantley","April 27th, 2017","A smart, funny and utterly engrossing new play...Features a magnificent Laurie Metcalf leading one of the best casts in town...Mr. Hnath approaches what might seem like a hubristic project with the humility and avidity of an engaged Everyreader...He has written an endlessly open debate. Which for the record never feels like a debate, such is the emotional commitment of the cast and the immediacy of Mr. Gold<U+2019>s fine, sensitive production.",""
"2","95","Broadway News","Charles Isherwood","April 27th, 2017","So endlessly stimulating that it could give audiences fodder for heated conversation until the fall season is in full swing...Hnath<U+2019>s play fairly sets your head spinning with its knotty perspectives...With a sterling cast led by Metcalf, the production is as much an engrossing entertainment as it is a theatrical treatise that stirs the heart even as it invigorates the mind...Metcalf here delivers what is easily her finest Broadway performance to date<U+2014>and she has never been less than terrific.",""
"3","85","Theatermania","Zachary Stewart","April 27th, 2017","A leap that pays off in delightful and often hilarious ways...Hnath raises deeper questions not just about a certain brand of feminism, but the cult of individualism that is so ingrained in modern society...Director Sam Gold has led everyone in this cast to thoughtful and revelatory performances in an appealingly clean production...Hnath refracts Ibsen through the prism of contemporary life, revealing the complicated spectrum of issues that always existed within the drama.",""
"4","80","BroadwayWorld","Michael Dale","April 29th, 2017","Gold's invigorating production showcases four stellar performances. Metcalf is a master of drawing out comedy that's firmly anchored in realism...Houdyshell's Anne Marie is a dry and stoic presence that deflates Nora's pride in her accomplishments by pointing out the reality she never sees, and Rashad effectively conveys the maturity of a young woman forced to grow up early...This is a play that will no doubt provoke discussion.",""
"5","80","Variety","Marilyn Stasio","April 27th, 2017","Helmer Sam Gold knows his players and right from this first scene pairs them in a series of close encounters that feel like fierce, if friendly wrestling matches...Hnath<U+2019>s dialogue, slangy and vulgar and brightly idiomatic, is full of zingers...Metcalf is amazing, uncovering so many facets to Nora, while retaining the humor to laugh at her idiocies. But by now, we<U+2019>re starting to suspect that this isn<U+2019>t really a play, but a very funny and quite biting manifesto...Nora wins every verbal battle.",""
"6","95","Time Out New York","Adam Feldman","April 27th, 2017","With Lucas Hnath<U+2019>s lucid and absorbing 'A Doll<U+2019>s House, Part 2,' the Broadway season goes out with a bang...Modern in its language, mordant in its humor and suspenseful in its plotting, the play judiciously balances conflicting ideas about freedom, love and responsibility. And Sam Gold<U+2019>s exemplary direction keeps you hanging on each turn of argument and twist of knife. Everything about the production works. It<U+2019>s a slam dunk.",""
"7","80","The Guardian (UK)","Alexis Soloski","April 27th, 2017","Hnath<U+2019>s play is less a conventional sequel than a thought experiment inspired by the original...Hnath writes fast, vibrant dialogue and while Gold inserts a few postmodern touches, he mostly pushes the actors onstage and has them talk things over with hustle and vigor. The performers are excellent, particularly Metcalf...The play succeeds far better as a vivid and playful philosophical exercise than as a character-driven drama...This shouldn<U+2019>t put ticket buyers off.",""
"8","85","New Yorker","Hilton Als","May 1st, 2017","Hnath has now found himself by parsing and filling in a story he didn<U+2019>t write...To go from dreaming about Nora<U+2019>s life to writing it required a leap of faith<U+2014>an author<U+2019>s faith in his own imagination<U+2014>and that<U+2019>s the kind of energy that jumps out at you from Hnath<U+2019>s play, his strongest yet...It was thrilling to feel that the writer and the director weren<U+2019>t condescending to us and assumed we<U+2019>d keep up. We do, because Nora matters to us and will always matter to us.",""
"9","75","Lighting & Sound America","David Barbour","April 28th, 2017","As long as Metcalf and Houdyshell command the stage, armed with Hnath's mordant dialogue, 'A Doll's House, Part 2,' looks like a play that is going places...But Torvald isn't an equal partner at all, dramatically speaking, and Cooper often seems a little overwhelmed by his leading lady...Gold's direction finds every available laugh and bit of insight in Hnath's script; even when it begins to disappoint, there's a baseline level of professionalism below which this production never drops.",""
"10","85","DC Theatre Scene","Jonathan Mandell","April 27th, 2017","A clever, surprisingly amusing and thought-provoking new play performed to winning effect by a quartet of first-rate actors...The main pleasures in 'A Doll<U+2019>s House, Part 2,' are rooted in the chance to watch four accomplished performers...Gold puts the actors<U+2019> performances front and center, often literally.",""
