"","Score","Media","Reviewer","Date","Review","Review (Don't)"
"1","100","The New York Times","Charles Isherwood","October 27th, 2016","There<U+2019>s hardly a moment in the exhilarating, devastating revival of the musical 'Falsettos' that doesn<U+2019>t approach, or even achieve, perfection...Directed by Mr. Lapine<U+2014>whose work is so sharp it<U+2019>s as if he were seeing the show with a new pair of eyes...Mr. Borle shines here as he has never before...'Falsettos' never feels like a singing time capsule. Its fundamental subject is that mysterious, maddening, uplifting, life-complicating emotion we refer to as love, which hasn<U+2019>t changed in 25 years.",""
"2","80","Theatermania","Zachary Stewart","October 27th, 2016","While it is always delightful to hear the composer's idiosyncratic voice onstage, the dramaturgical flaws inherent in the piece don't go unnoticed...The songwriting is the real reason to see this show...The drastic tonal swing of the second act requires an emotional gear shift that not every audience member may be able to make...That disappointing outcome is not for lack of trying on the part of the cast...A near-perfect revival of a decidedly imperfect musical.",""
"3","85","BroadwayWorld","Michael Dale","October 28th, 2016","Lapine serves as director for the terrific new Broadway revival of 'Falsettos' that, through more lyric revisions and interpretations that provide a greater unity of tone, finally fuse the two acts into a singular piece of romance, wit, jaunty melodies and realistic characters trying to keep their neuroses in check...Lapine's new cast takes 'Falsettos' in intriguing new directions.",""
"4","85","Variety","Marilyn Stasio","October 27th, 2016","This surprisingly fresh revival has been directed by original director Lapine, who plainly understands the bittersweet humor and provisional joy of that period...The warm performances of a terrific cast soften the underlying sadness of Finn<U+2019>s breakthrough musical...The story is largely told through the easygoing score, a fusion of tuneful melodies with insightful lyrics...Borle<U+2019>s neurotic hero is well matched with Rannells<U+2019> Whizzer.",""
"5","85","Time Out New York","Adam Feldman","October 27th, 2016","Few musicals have the range, idiosyncrasy and emotional punch of this profoundly unconventional and personal work...As enjoyable as the snaggletoothed and biting first half can be, it hardly prepares you for the extraordinary second...Finn pushes musical theater to the limits of what we can ask of it. Those who know the show may find fault with some of the revival<U+2019>s choices...But flaws are written into 'Falsettos,' as is the impulse it elicits to forgive them.",""
"6","80","The Guardian (UK)","Alexis Soloski","October 27th, 2016","'March' is perhaps the more interesting half...The second act is more conventional...But it<U+2019>s here that the work<U+2019>s emotional heart beats most muscularly and anyone who leaves without shedding a tear may want to see his or her ophthalmologist...The Broadway revival is not a copy of the original...Neither is it a faultless work...Yet Lapine directs in a style that remains both consciously frolicsome and helplessly shrewd.",""
"7","10","New Yorker","Hilton Als","November 7th, 2016","One of the most dishonest musicals I have ever seen...What can you do with a show that opens with a song called 'Four Jews in a Room Bitching,' and uses AIDS to endow it with seriousness  The rot at the center of 'Falsettos' is slathered in self-congratulation. Finn and Lapine use Jews, AIDS, and so on to rope in a particular audience, which is then held captive to their seemingly endless array of self-referential songs and weak humor.",""
"8","90","Lighting & Sound America","David Barbour","November 9th, 2016","'Falsettos' remains a marvel of social observation and humane comedy<U+2014>and the second act packs a knockout punch that very few musicals can match...In number after number, Finn both spoofs and sympathizes with his characters as they stumble around...Lapine has assembled a top-flight cast to get inside the heads of these complex, contradictory, often self-defeating characters...The time has never been riper for a revival of this beautiful show.",""
"9","55","New York Theater","Jonathan Mandell","November 12th, 2016","There is much I enjoyed about it, especially the performances of its exceptional seven-member cast...But ultimately I found 'Falsettos' neither terrible nor terrific...For all its willingness to present ambivalent, bickering characters in complicated relationships, 'Falsettos' feels dated in many ways...The melodies produce no earworms, and the lyrics sometimes spin word pictures with the delicacy of a sledgehammer...There are moments...when I<U+2019>m nothing but glad they brought it back.",""
"10","80","Talkin' Broadway","Matthew Murray","October 27th, 2016","'Falsettos' has cemented its stake for greatness, even for skeptics like me, by proving, with this production, that it has a lot more on its mind and in its heart than just the current political zeitgeist...What struck me this time around was its all-consuming universality...Borle's performance is fully integrated and absolutely seamless, the kind of thing we should see from every Broadway performer all the time, but in actuality rarely do. That includes, sadly, much of what surrounds Borle.",""
