"","Score","Media","Reviewer","Date","Review","Review (Don't)"
"1","85","The New York Times","Ben Brantley","April 17th, 2017","A dizzyingly witty new musical...Mr. Karl is so outrageously inventive in ringing changes on the same old, same old, that you can<U+2019>t wait for another (almost identical) day to dawn...Mr. Karl turns these different feelings into a replete gallery of self-portraits, drawn with both comic panache and genuine feeling...He uses every tool in the musical arsenal, too, often to devastating effect...NY audiences have the rare chance to witness the full emergence of a newborn, bona fide musical star.",""
"2","35","Broadway News","Charles Isherwood","April 17th, 2017","Life would be grim indeed if I had to wake up and face this tedious, charm-free and often tasteless show again day after day...Despite Minchin<U+2019>s often cleverly turned (if vulgar) lyrics and the Trojan-like work of Karl, 'Groundhog Day' never achieves the comic liftoff that made the movie at least mildly diverting...Minchin is a skillful songwriter, but his score for 'Groundhog Day' is mostly flavorless and uninspired.",""
"3","60","Time Out New York","David Cote","April 17th, 2017","While there are likable, inspired elements...time crawls as you wait for boorish weatherman Phil to surrender to human kindness...The tone throughout is gratingly cartoonish, replacing the dry whimsy of the movie with overwrought clownishness...The story lacks focus and drive. We don<U+2019>t care enough about the crucial, deepening romance...Even for all the structural problems of the book and score, Karl<U+2019>s turn is undeniably strong<U+2014>just not enough to fix the skipping-record world around him.",""
"4","70","Variety","Marilyn Stasio","April 17th, 2017","Under Warchus<U+2019>s helming, Phil<U+2019>s adventures in Punxsutawney are like Alice<U+2019>s adventures in Wonderland<U+2014>fantastical and fun...Minchin<U+2019>s lyrics turn out to be much cleverer than the introductory number would indicate. Unfortunately, his music lacks a distinctive sound and doesn<U+2019>t rise above monotony...Karl<U+2019>s charismatic perf and Warchus<U+2019>s inventive staging are in the service of the book...Although the story holds up, it doesn<U+2019>t entirely make sense here, given Phil<U+2019>s nice-guy persona.",""
"5","85","Theatermania","David Gordon","April 17th, 2017","It's Karl's heroic performance that truly carries the piece. Overall, 'Groundhog Day' is one of the more imaginative musicals of the season. When the material is combined with Warchus' cinematic staging, it is also one of the most consistently thrilling...It's exactly what you want a Broadway musical to be: a high-concept spectacle but one that has a compelling story, hummable music, and smart-as-hell lyrics. Reliving 'Groundhog Day' over and over would prove to be a real pleasure.",""
"6","65","The Huffington Post","Steven Suskin","April 17th, 2017","An entertainment that is often compelling but occasionally fitful. The show has a major asset in the performance of Andy Karl...With 'Groundhog Day,' as with 'Rocky,' he is forced to do extra-heavy lifting...As for the musical itself, the songs kept me from fully slipping under its spell; the most memorable element for me, other than the star<U+2019>s performance, was a daffy redneck car-chase in miniature, which is exhilarating. But Karl, by himself, is reason to see 'Groundhog Day.'",""
"7","55","Lighting & Sound America","David Barbour","April 18th, 2017","Without the presence of Karl<U+2014>one of the rare musical theatre stars who can function equally well as clown and romantic leading man<U+2014>'Groundhog Day' might be no fun at all...The songwriter, Minchin, is a surprisingly sloppy lyricist...Karl is the show's energy cell, its main source of mirth. He can't make the sour, gratuitously cruel Phil into an engaging figure, however, which is why the first act is such a trial; in the somewhat better second act, he is allowed to unleash his natural charm.",""
"8","65","New York Theater","Jonathan Mandell","April 23rd, 2017","The translation to the stage presents logistical problems that the theatrical team solves with only varying degrees of success. The score is full of clever, saucy lyrics and music that ranges from rock to jazz to country...Technically impressive fast footwork and flashy stage effects that fill both eyes and ears but reach neither mind nor heart (nor funnybone!). All I can say about 'Groundhog Day' without ambivalence is that Karl<U+2019>s performance is one that nobody should miss.",""
"9","90","Theater Life","David Sheward","April 22nd, 2017","<U+201C>Exhilarating...<U+2018>Groundhog Day<U+2019> combines an innovative premise with a fresh, eclectic score influenced by many genres<U+2026>Andy Karl rockets into the stratosphere in <U+2018>Groundhog Day<U+2019><U+2026>He<U+2019>s equally credible and fun as a snide lout, a drunken lech, or a budding humanitarian, plus his vocals and physical movement skills are top-notch. The surrounding production, inventively staged by Matthew Warchus, is a feast of the imagination.",""
"10","15","Talkin' Broadway","Matthew Murray","April 17th, 2017","Overproduced, overwritten, overacted, and over-everything-elsed adaptation...They've buried most of the movie's abundant charms beneath a heap of hypercaffeinated glitziness that honors neither the Broadway musical form nor Karl's inspiring work ethic...All this frenzy occurs for no dramatic or theatrical reason, and it doesn't so much create energy as it does sap it; it's exhausting watching any show try harder than necessary to engage you, all while missing the underlying point.",""
"11","70","The Wall Street Journal","Terry Teachout","April 18th, 2017","A good-looking, magnetically charismatic fellow with a rich singing voice and the effortless moves of an old-time hoofer, Mr. Karl did the impossible: He made you forget about Bill Murray...I won<U+2019>t try to tell you, however, that 'Groundhog Day: The Musical' is a great show...The production is a bit too busy but is for the most part satisfyingly elaborate, while the staging is as fine as you<U+2019>d expect from Mr. Warchus...'Guys and Dolls' it isn<U+2019>t, but you won<U+2019>t be even slightly sorry you saw it.",""
"12","85","The Clyde Fitch Report","David Finkle","April 17th, 2017","Under director Matthew Warchus<U+2019>s expert tutelage, Rubin and songwriter Tim Minchin shoot this clever story to the stage as if it belongs there every bit as much as it belonged on the screen...Minchin is delightfully iconoclastic once again...Karl is alternately nuanced and broad throughout the show as he carries the weight of this tuner lightly...It<U+2019>s like the Groundhog Day on which it takes place: worth experiencing over and over (and over and over) again.",""
