,Username,Location,Age,Sex
26,Maxim, Hutchinson , 25-34 , Female  
27,Cristina 3, San Antonio , 35-49 , Female  
28,Portia, Lake Ronkonkoma , 35-49 , Female  
29,Lane, East New York , 18-24 , Female    
30,Eleanor 2, Manhattan ,, Female
31,Lynn M 3, Los Angeles , 50-64 , Female         
32,Bibliobiophile, New York City , 25-34 , Female     
33,M 608343, Hoboken,,
34,Kevin A 6126, Manhattan , 25-34 , Male  
35,Ralph 5, 50-64 ,, Male
36,eortiz1296, Manhattan , 18-24 , Female    
37,Betty 609052, Ansonia , 65+ , Female  
38,MIGUEL 6089, New York City , 35-49 , Male      
39,GirlFriday, New York City , 25-34 , Female  
40,Mariah, Borough of Bronx , 25-34 , Female  
41,Andrew 4, Wethersfield , 50-64 , Male    
42,RickD, Manhattan ,, Male
43,Angela Mansberry, Manhattan , 25-34 , Male  
44,Michael E 6126, Danbury , 50-64 , Male  
45,Nicole A, Jersey City , 18-24 , Female    
46,dreammaker, Borough of Bronx , 50-64 , Female  
47,Hannah 29, Brooklyn , 25-34 , Female  
48,StinkyLulu, 35-49 ,, Male
49,Ellis Bell, New York City , 50-64 , Female  
50,Brian C, Ewing , 50-64 , Male    
51,Howard Miller,,,
52,Alix Cohen,,,
53,Roma Torre,,,
54,Sandi Durell,,,
55,Christopher Kelly,,,
56,Regina Robbins,,,
57,Peter Marks,,,
58,Naveen Kumar,,,
59,Michael Musto, , ,
60,Richard Seff,,,
61,Ron Cohen,,,
62,David NouNou, , ,  
63,Mark Shenton,,,
64,Peter Filichia,,,
65,John Clum,,,
66,Charles McNulty,,,
67,David Richardson,,,
68,Leonard Golubchick,,,
69,PJ Grisar,,,
70,Elyse Trevers,,,
71,Janice Kaplan,,,
72,Chris Nashawaty,,,
73,Rafi Mittlefehldt,,,
74,Andrew Koenig,,,
75,Arielle R, New York City , 25-34 , Other  
76,Kirsten S 6124, Brooklyn , 18-24 , Female  
77,Ray of Light, Pasadena , 35-49 , Male    
78,Mark 628161, Hutchinson,,
79,Julia Rose, Syracuse,,
80,Bml59, White Plains , 50-64 , Male  
81,Tricia, Los Angeles ,, Female
82,Alison F 6125, Manhattan , 25-34 , Female  
83,Member 709915, Bridgewater,,
84,mzende, Washington D.C., 35-49  ,
85,Cindy Salzman, Manhattan , 35-49 , Female  
86,Alana 6293, Union City , 25-34 , Female  
87,Member 1d1d1f20, Manhattan,,
88,Doug Anderson, New York City , 65+ , Male  
89,Alice C 6363, Cliffside Park ,, Female
90,Brodo Swaggins, New York City,,
91,smileyman, New York City , 13-17 , Male  
92,elly9149, New York City , 25-34 , Female  
93,Karl 4, Emmen , 65+ , Male  
94,Jillian, Long Island City , 25-34 , Male  
95,David Z 6124, Ewing , 50-64 , Male  
96,Evan W 2, Fort Lee , 25-34 , Male  
97,Helene 5, Borough of Bronx , 50-64 , Female  
98,Mimi 6098, Manhattan , 25-34 , Female  
99,Elizabeth 6282, Ewing,,
100,Alicia Lutes,,,
101,Michael Billington,,,
102,Matt Trueman,,,
103,Stephen Dalton,, 65+ , Male
104,Dominic Cavendish,,,
105,Paul Taylor,,,
106,Andrzej Lukowski,,,
107,Susannah Clapp,,,
108,Sarah Crompton,,,
109,Sam Marlowe,,,
110,Roger Crow,,,
111,Alex A, Universal City,,
112,Sarah O, Manhattan , 25-34 , Female  
113,MARY SUGAR, Cliffside Park , 25-34 , Female  
114,Vicki, Hoboken , 25-34 , Female  
115,Ali 6125, New York City , 25-34 , Female  
116,EJ, New York City , 18-24 , Female  
117,Jeff Dubs, Union City , 25-34,  
118,DAVID P 6160, East New York,,
119,Diane B 6125, Lakewood , 65+ , Female  
120,REBECCAC B, Manhattan , 25-34 , Female  
121,AshJour, Jersey City , 25-34 , Female  
122,Hpudance, Long Island City,,
123,Jennifer C 6160, Milford , 25-34 , Male     
124,Kerri Lauren, New York City , 25-34 , Female    
125,DIANE 6242, Long Island City,,
126,Maria 33, Hoboken , 35-49 , Female    
127,Stephanie D4, Brooklyn , 35-49 , Female  
128,Casina, Fort Lee , 18-24 , Female  
