"","Score","Media","Reviewer","Date","Review","Review (Don't)"
"1","85","The New York Times","Charles Isherwood","May 23rd, 2016","<U+201C>A gorgeously sung, elementally spare production...The performers intermittently move through aisles in the audience, bringing an inviting intimacy to the production. It<U+2019>s a smart tactic, because while its score is continually beguiling, <U+2018>Hadestown<U+2019> might feel static were it not for Ms. Chavkin<U+2019>s simple but inventive staging...Ms. Mitchell<U+2019>s lovely music and well-turned lyrics are tightly bound together, and recall traditional folk music with a distinctive Southern flavor.",""
"2","90","Theatermania","Zachary Stewart","May 23rd, 2016","<U+201C>Chavkin has crafted a visually arresting production to match the richness of Mitchell's score...Chavkin and Mitchell enrich this ancient story in their imaginative rendering, making the characters and their relationships seem fresh and relatable...Everything about <U+2018>Hadestown<U+2019> is designed to grab your attention and pull you into the story. Even if you are not a fan of folk music, it will be difficult to resist this tuneful and visually spectacular production.<U+201D>",""
"3","85","The Hollywood Reporter","Frank Scheck","May 23rd, 2016","<U+201C>The material has been given an enthralling environmental staging...Energetically sung by the powerful-voiced ensemble, the music is terrific: endlessly inventive and eclectic, as melodic as it is funky and folksy...The lyrics aren't as scintillating as the music, and the action feels overly busy at times. The dialogue can be wince-inducing...It hardly matters, thanks to the music's relentless energy and inventiveness as delivered by the crack band and terrific ensemble.<U+201D>",""
"4","85","New York Theater","Jonathan Mandell","May 23rd, 2016","<U+201C>Mixes sweet and sexy folk, rocking New Orleans jazz, get-down blues and sinful soul. The eight cast members who perform the 35 songs are uniformly terrific; it<U+2019>s hard to imagine anybody better. If the plot strays little from the bare-bones story of Orpheus, the songs and the staging are enough to enchant for the two-hour running time...'Hadestown' is not a traditional musical. Think of it as a concert with benefits, but don<U+2019>t resist the temptation to go.<U+201D>",""
"5","65","The Huffington Post","Steven Suskin","May 23rd, 2016","<U+201C>This interestingly told and interestingly staged journey to the Underworld, alas, only occasionally hits the heights...While we have a bunch of prettyish numbers...things don<U+2019>t get hot until we get the hell to Hades. The second act more thoroughly engages us and holds our attention...Fans of Mitchell<U+2019>s album will likely be wowed by the piece, and the stage version is a worthy attempt at trying something different. But this visit to 'Hadestown' is not quite compelling.<U+201D>",""
"6","85","Lighting & Sound America","David Barbour","June 2nd, 2016","<U+201C>What's most engaging about <U+2018>Hadestown<U+2019> isn't the story it tells but the way it tells it -- with a barrelhouse sense of rhythm and plenty of blue notes. Under Chavkin's direction, the entire cast is in synch with the music's sassy, cynically upbeat mood, delivering each lyric with a lazy vibrato and a shrugging acknowledgement of the world's wicked ways...<U+2018>Hadestown<U+2019> delivers its tragic tale with a wink and a snap in its step.",""
"7","90","Front Row Center","Tulis McCall","May 31st, 2016","A thrilling new musical<U+2026>With her partner, director Rachel Chavkin and this magnificent design team and orchestra <U+2013> a thing of beauty has been created.  While at times it is is more concert than theatre (this was the first incarnation of the piece) the story nevertheless reaches out and grabs you in your wooden seat.",""
"8","65","Talkin' Broadway","Matthew Murray","May 23rd, 2016","<U+201C>A testament to the rewards that can be reaped from conceiving an approach and sticking to it no matter what. Lots of theatre claims to be immersive, but few accomplish it as totally as <U+2018>Hadestown<U+2019> does. But for all its physical and technical brilliance, it's dull, even irritating, as an example of musical theatre writing...As with other recent stage efforts from pop artists, it has no discernible interest in telling its story on the theatrical terms.<U+201D>",""
"9","65","Broadway Blog","Samuel L. Leiter","May 31st, 2016","For a show inspired by a tale dramatized in countless films, plays, and operas...it<U+2019>s disappointing to see how little drama has been squeezed from it here, despite the many appealing songs and the infusion of a capitalistic exploitation theme...With its extensive use of mics, and even a section where Persephone introduces each orchestra member for applause, it's basically a well-staged concert. Judging by the warm response, however, many will have a hot time in old Hadestown tonight.",""
"10","60","AM New York","Matt Windman","May 23rd, 2016","<U+201C>Proves to be smart and romantic but dramatically underwhelming...In Mitchell<U+2019>s hands, the sensitive Orpheus is too focused on playing the guitar to provide for Eurydice<U+2019>s real-world needs, so she independently ventures down to an industrialized underworld...The cast is excellent and songs are either gently touching or catchy, but <U+2018>Hadestown<U+2019> does come off as slow, undercooked and choppy, more reminiscent of a concert than a theatrical work.<U+201D>",""
