"","Score","Media","Reviewer","Date","Review","Review (Don't)"
"1","100","The New York Times","Ben Brantley","August 6th, 2015","Yes, it really is that good...I am loath to tell people to mortgage their houses and lease their children to acquire tickets to a hit Broadway show. But 'Hamilton,' directed by Thomas Kail and starring Mr. Miranda, might just about be worth it <U+2014> at least to anyone who wants proof that the American musical is not only surviving but also evolving in ways that should allow it to thrive and transmogrify in years to come.",""
"2","100","Theatermania","Zachary Stewart","August 6th, 2015","Yes, it's as incredible as everyone says....With his new musical, 'Hamilton,' Lin-Manuel Miranda has an eye on both. He's created a work sure to be enjoyed by generations to come, proudly drawing on America's past as a guiding light to the future. It unequivocally asserts that the revolutionary ideals of 1776 are still valid in 2015. It is nothing short of a masterpiece, destined to change Broadway forever.",""
"3","90","BroadwayWorld","Michael Dale","August 7th, 2015","As with 'In The Heights', Miranda's ear-popping material kinetically fuses with the exemplary work of director Thomas Kail to explosively tell the story of a man considered one of the first quintessential New Yorkers - a poor immigrant with radical ideas who pushed his way to prominence for the betterment of society.",""
"4","100","Time Out New York","David Cote","August 6th, 2015","What is left to say  After every critic in town (including me) praised the Public Theater world premiere to high heaven; and after seeing this language-drunk, rhyme-crazy dynamo a second time, I can only marvel: They used up all the damn words. Wait, here are three stragglers, straight from the heart: I love 'Hamilton.' I love it like I love New York, or Broadway when it gets it right. And this is so right.",""
"5","80","New York Post","Elisabeth Vincentelli","August 6th, 2015","Lin-Manuel Miranda<U+2019>s 'In the Heights' may have been a hit <U+2014> but his 'Hamilton' is a phenomenon...But <U+201C>revolutionary<U+201D> the show is not. Truly radical art is divisive, and under its brash exterior, 'Hamilton' is warmly reassuring <U+2014> a love letter to a land of opportunity where 'The 10-dollar founding father without a father/Got a lot farther by working a lot harder/By being a lot smarter/By being a self-starter.'<U+201D>",""
"6","100","Variety","Marilyn Stasio","August 6th, 2015","This innovative show is shaping up to be just as much of a phenomenon uptown, playing in a Broadway house with four times the seating capacity, and to a more traditional but no less enthusiastic audience. That universal appeal to crossover audiences is one unmistakable sign of a groundbreaking show...Like any true landmark, 'Hamilton' stands up to repeated viewings. After six months, the show<U+2019>s initial impact hasn<U+2019>t dulled a bit; in fact, the qualities that made it so extraordinary the first...",""
"7","95","The Hollywood Reporter","Frank Scheck","August 6th, 2015","Having already become a cultural phenomenon in its off-Broadway premiere run earlier this year at the Public Theater, 'Hamilton' <U+2014> written by and starring Lin-Manuel Miranda, who previously made a name for himself on Broadway with 'In the Heights' <U+2014> seems a shoo-in for smash hit status and a slew of awards attention...The musical is a triumph.",""
"8","95","The Huffington Post","Steven Suskin","August 6th, 2015","'Hamilton' is not just an excellent and rousing musical; it brings something new to the musical theatre, and does it so very compellingly that superlatives are in order. I--and I expect just about all my critical colleagues--would tell you to stop reading right now and get yer tickets, except there aren't likely many to be had for the next year or three.",""
"9","95","DC Theatre Scene","Jonathan Mandell","August 6th, 2015","When Hamilton opened  -Broadway in February, I called it groundbreaking and breathtaking <U+2013> and I was trying not to gush...Analyzing the importance of 'Hamilton' misses the main takeaway from the musical: It<U+2019>s thrilling to watch. It seems always in motion, thanks to a creative team including director Thomas Kail, and especially choreographer Andy Blankenbuehler, who keeps the sexy ensemble very busy. They help enhance what are some terrific performances.",""
"10","60","Talkin' Broadway","Matthew Murray","August 6th, 2015","Does 'Hamilton' live up to all <U+2014> any <U+2014> of this hype  And does it need to  From my perspective, the answers are, respectively, a definite no and a solid yes...Though much has been made of the myriad musical and lyrical references that pockmark the evening, they're more about calling attention to themselves than contributing to a consistent texture or sensible narrative. To my reckoning they brand 'Hamilton,' even in its slightly altered, more precise uptown incarnation, as unsatisfying and un...",""
