"","Score","Media","Reviewer","Date","Review","Review (Don't)"
"1","80","The New York Times","Ben Brantley","April 20th, 2017","Pretty much everything Midler does stops the show...Midler never pushes for effect. Her every bit of shtick has been precisely chosen and honed, and rather than forcing it down our throats, she makes us come to her to admire it. Much of the rest of Zaks<U+2019> production charges at us like a prancing elephant, festooned in shades of pink<U+2026>A tone of sunny desperation isn<U+2019>t out of keeping with what seems to be this production<U+2019>s escapist mission, which is to deliver nostalgia with an exclamation point.",""
"2","85","Broadway News","Charles Isherwood","April 20th, 2017","Midler serves up a star performance of glowing luster, rambunctious clowning and, on just a few occasions, surprising emotional delicacy...Midler transforms this cotton-candy cloud of a musical into a bona fide theatrical event...The aesthetic approach here is more a matter of loving restoration than reinvention...It remains a featherweight piece of pure escapism...A star shines best when there are strong talents around her to reflect her light, and Midler has been so surrounded here.",""
"3","95","Theatermania","Zachary Stewart","April 20th, 2017","<U+201C>Midler is dishing out comic gold in a joyous revival that will remind you why you fell in love with Broadway in the first place<U+2026><U+2018>Dolly<U+2019> is as catchy and irresistible as ever. Jerry Herman's hit-parade score will stick with you for weeks<U+2026>The cast brings pristine comic timing to Michael Stewart's hilarious book<U+2026>Midler embraces the audience and the energy it brings with a giant bear hug...A rare experience that even the most jaded theatergoer will have trouble resisting.<U+201D>",""
"4","90","BroadwayWorld","Michael Dale","April 23rd, 2017","Midler glows...as she lands schticky gags, sings with moxie, conveys sincerity and leads the colorful parade proudly strutting across the stage. That said, it must be stressed that under the care of director Jerry Zaks...the star of the evening is 'Hello, Dolly!.' Its reputation as a glitzy star vehicle may overshadow the fact that this is a superbly written work of bubbly fun and warm sentiment enhanced by a score full memorable melodies and smart lyrics.",""
"5","85","Variety","Marilyn Stasio","April 20th, 2017","<U+201C>Looks so fresh, you want to pinch its cheek...Helmer Jerry Zaks and choreographer Warren Carlyle have done a great restoration job on the old girl, while refraining from the urge to tart her up for modern tastes<U+2026>Midler instinctively understands the avid thirst for life that prompts Dolly<U+2019>s comic desperation and gives depth to her character<U+2026>Although none of the secondary players will knock you out, Zaks has cast an entirely watchable cast of reliables.",""
"6","95","Time Out New York","Adam Feldman","April 20th, 2017","<U+201C>A blissful Broadway revival<U+2026>The part of Dolly is exquisitely suited to Midler<U+2019>s enormous warmth, savvy and drive. It<U+2019>s hard to imagine a better match of actor and role: It is, in a word, perfection<U+2026><U+2018>Hello, Dolly!<U+2019> may be a vehicle for its star, but this revival treats it like a vintage Rolls-Royce. From the rousing overture on, everything about the production, directed with joyful aplomb by Jerry Zaks, gleams with old-fashioned charm<U+2026>Jerry Herman<U+2019>s exuberant score is a show-tune bonanza.<U+201D>",""
"7","80","The Guardian (UK)","Alexis Soloski","April 21st, 2017","<U+201C>A bluntly nostalgic and volubly entertaining revival<U+2026>If Midler once had the voice for the part, seven decades and eight shows a week have worn it into something a lot raspier...But the spirit of the show is so infectious, and Midler such an adored and adorable presence, that the audience applauds her at entrance, exit and several times in between<U+2026>This relentless energy sometimes feels exhausting<U+2026>But when it works, especially in the ensemble numbers, the show is a riotous delight.",""
"8","90","New Yorker","Hilton Als","April 24th, 2017","The characters address the audience from time to time, which gives Midler a chance to connect with us by drawing on who she really is, as well as whom she wants to portray...The role of Dolly isn<U+2019>t necessarily tailor-made for Midler<U+2014>she<U+2019>s infinitely more complicated and funny and there isn<U+2019>t a corny bone in her body<U+2014>but she has remade the character in her own image: as a scrappy trickster with needs and vulnerabilities.",""
"9","85","Lighting & Sound America","David Barbour","April 25th, 2017","<U+201C>Midler's outsized comic personality merges beautifully with Dolly...She has an ideal partner in David Hyde Pierce<U+2026>It doesn't take very long for one to realize how efficient <U+2018>Hello, Dolly!<U+2019> is when it comes to spreading delight. Not that it is a perfect piece of entertainment...At times the plot barely tracks...But...those irresistible Jerry Herman songs just keep on coming...And, a few instances of overplayed comedy aside, the supporting cast catches the wave of the star's exuberance.",""
"10","65","New York Theater","Jonathan Mandell","April 28th, 2017","There are moments in Bette Midler<U+2019>s 'Hello, Dolly!' that offer unsurpassed entertainment<U+2026>There are not enough of those perfect moments, however, to justify the ardor for this unexceptional, pastel-hued fourth Broadway revival, nor to explain fully the exuberant acclaim for its star<U+2026>The real heavy-lifting is done by the vigorously athletic, inexhaustible and sometimes exhausting ensemble<U+2026>Bette does own Dolly, but Dolly doesn<U+2019>t always live in Bette; the melding of the two is only periodic.",""
