"","Score","Media","Reviewer","Date","Review","Review (Don't)"
"1","95","The New York Times","Charles Isherwood","November 14th, 2016","Who would have guessed that Dave Malloy<U+2019>s gorgeous pop opera  would land on Broadway with all its signal virtues intact, and in some ways heightened ...The show remains a witty, inventive enchantment from rousing start to mournful finish...O.K., so it<U+2019>s a little dense...Even if you get lost for a bit, the dazzling staging, the vivid performances and the richness of Mr. Malloy<U+2019>s music will provide pleasures that go well beyond the narrative.",""
"2","90","Theatermania","Zachary Stewart","November 14th, 2016","The most exciting theatrical experience since 'Hamilton,' a must-see for anyone who wants a sneak peek at how Broadway will look in the coming decades...Malloy's sharp lyrics and tunefully experimental music make the occasional haziness of the book easy to forgive...'The Great Comet' is a model for how to present 21st-century theater in venues designed 100 years ago....Everyone in this cast is working hard and it pays off.",""
"3","85","BroadwayWorld","Michael Dale","November 15th, 2016","Director Rachel Chavkin's brilliantly joyous and sneakily subversive mounting of <U+2018>The Great Comet,<U+2019> an infectiously lively musical<U+2026>Josh Groban supplies the attention-grabbing star name and does a fine job anchoring the festivities with gravitas<U+2026>Den<U+00E9>e Benton's Natasha revels in the spotlight much of the time and she reflects it luminously with a lovely voice and a glowing presence...Let this dazzling show fill your spirits all night long.",""
"4","95","NY1","David Cote","November 18th, 2016","Pure theatrical magic<U+2026>Country aristocrat Natasha is played with sparkle and pluck by Den<U+00E9>e Benton<U+2026>Josh Groban makes a forceful and passionate Broadway debut as the dissolute Pierre...Rachel Chavkin<U+2019>s breathless, immersive staging is a constant source of wonder...One of the most thrilling Broadway musicals this decade, 'The Great Comet' is intimate yet epic, ironic yet deeply felt, cosmic yet down to earth. It lights up the sky and our hearts.",""
"5","90","Variety","Marilyn Stasio","November 14th, 2016","A luscious, 360-degree immersive experience that feels like being smothered in velvet...You really don<U+2019>t want to miss a thing in this musically lush and visually opulent production...Malloy, who wrote the marvelous book, tuneful music, and smart lyrics, understands and even admires the members of this aristocratic society, who in ensemble songs reveal themselves as irresistibly charming and hopelessly corrupt.",""
"6","95","Time Out New York","Adam Feldman","November 14th, 2016","Director Rachel Chavkin<U+2019>s approach to the show<U+2014>spectacular yet intimate, theatrical yet personal<U+2014>is an ideal complement to Malloy<U+2019>s brilliantly unconventional musical...In Malloy<U+2019>s complex and eclectic score, lovely stand-alone songs are woven into a larger blanket of recitative and surprising combinations of content and genre...Bittersweet and joyous, artful and accessible, this is a Broadway party like no other...It<U+2019>s a wonderful, soul-stirring escape.",""
"7","90","The Guardian (UK)","Alexis Soloski","November 14th, 2016","When the dancers are leaping, the accordions wheezing, the lights flashing, the skirts swirling, and the vodka flowing, then 'Natasha, Pierre and the Great Comet of 1812' feels thrillingly unlike anything else on Broadway...The combinatory musical style is perhaps too eclectic, yet also undeniably invigorating <U+2013> like a shot of horseradish vodka. Besides, these are rather minor quibbles when compared with the beauty of many of the songs and the excitement of the immersive staging.",""
"8","75","Lighting & Sound America","David Barbour","November 15th, 2016","Never, ever dull...As engaging as all the color, movement, and vocal pyrotechnics can be, there is something uncertain about the piece<U+2026>'The Great Comet<U+2019> is sometimes moving, sometimes electrifying, and sometimes just a bit vulgar and overreaching in its gritted-teeth determination to give the audience a good time<U+2026>As it is, it's prone to rather giddy mood shifts that sometimes undermine the story it is trying to tell. Make no mistake, however -- this is a wild, rollicking circus of a show.",""
"9","90","DC Theatre Scene","Jonathan Mandell","November 14th, 2016","Extraordinary, the freshest, most inviting show on Broadway this season. 'Great Comet' is awesome in its stagecraft, in its music, and in its performances...Director Rachel Chavkin and set designer Mimi Lien in particular deserve kudos for staging on Broadway something very close to the kind of immersive theater that<U+2019>s lately been intriguing theatergoers all over the world <U+2013> everywhere but Broadway, until now.",""
"10","70","Cultural Weekly","David Sheward","February 1st, 2017","Set designer Lien has done her best to recreate the atmosphere of a Russian dinner club, but the experience is much less intimate...The musical<U+2019>s delicate closing moments brought me to tears  -Broadway, but here I just admired the stagecraft...Groban exhibits a magnificent voice, but lacks the depth to fully inhabit the role. Benton<U+2019>s Natasha is charming and bubbly yet when her liaison with Anatole is shattered, she fails to move us.",""
