,Username,Location,Age,Sex
26,Rachel 7, Borough of Bronx , 35-49 , Female  
27,WH, Garden City , 50-64 , Male  
28,Renata 7077, New York City,,
29,webman843, New York City , 25-34 , Male  
30,Mimi 6098, Manhattan , 25-34 , Female  
31,Suzanne Zee, Borough of Bronx , 65+ , Female  
32,Ralph 5, 50-64 ,,  
33,eortiz1296, Manhattan , 18-24 , Female    
34,Tom L 6128, Westfield , 35-49 , Male  
35,Andrew F, New Brunswick , 25-34 , Male    
36,Gail 7095, Borough of Queens,,
37,Jimmy Pags, New York City , 25-34 , Male  
38,Heltondrew, Manhattan , 25-34 , Male     
39,Tom F 6126, Ridgewood , 65+ , Male  
40,Kayla Coleman, Rochester ,, Female
41,Guilty One, East New York , 18-24 , Female  
42,Wira, New York City , 25-34 , Male  
43,Cakescrapper, New York City , 35-49 , Female  
44,Hawkeye, New York City ,, Female
45,Merci Percy, New York City , 35-49 , Female  
46,Polly 7089, New York City ,, Female
47,Christa212, New York City , 50-64 , Female  
48,Beth S, New York City , 35-49 , Female  
49,Hannah C, New York City , 18-24 , Female  
50,Wanderlust, Manhattan , 35-49 , Female  
51,Robert Feldberg,,,
52,Victor Gluck,,,
53,Steven Ross,,,
54,Robert Kahn, , ,
55,Brian Scott Lipton,,,
56,Mark Kennedy,,,
57,Janice C. Simpson, , ,  
58,William Wolf,,,
59,Max McGuinness,,,
60,Christopher Kelly,,,
61,Peter Marks,,,
62,Naveen Kumar,,,
63,Michael Musto, , ,
64,Richard Seff,,,
65,Robin Riegelhaupt,,,
66,Ron Cohen,,,
67,Jennifer Vanasco,,,
68,Nicole Serratore,,,
69,David NouNou, , ,  
70,Jil Picariello,,,
71,Dan Dwyer, , , 
72,Michael Feingold,,,
73,Tim Teeman,,,
74,John Clum,,,
75,Stu Brown,,,
76,shakes2000, Long Island City , 25-34 , Male  
77,Ann 4, Auburn,,
78,Ken G, Manhattan,,
79,Norma, Manhattan , 65+ , Female  
80,MattP, Brooklyn , 35-49 , Male     
81,Britney, New York City,,
82,Suzanna, Middletown , 25-34 , Female     
83,Brandon S, Salt Lake City ,, Male
84,Muppetina, New York City ,, Female
85,Kevin A 6126, Manhattan , 25-34 , Male  
86,Michael E 6126, Danbury , 50-64 , Male  
87,Frank 4, Waltham Abbey , 50-64 , Male  
88,Marcy, New York City , 50-64 , Female  
89,Ellen D, East Brunswick , 50-64 , Female  
90,Stephen 18, Manhattan ,, Male
91,Suehodd, Brooklyn,,
92,Member 70402511, Manhattan,,
93,JoeyFranko, New York City , 50-64 , Male  
94,Scott Finkelstein, West Elkridge , 50-64 , Male    
95,Cynthia 6102, New York City , 50-64 , Female  
96,Cat Heinen, New York City , 18-24 , Female     
