"","Score","Media","Reviewer","Date","Review","Review (Don't)"
"1","80","Theatermania","Zachary Stewart","March 16th, 2017","Director Terry Kinney keeps us constantly pondering the connection between the past and the present in his straightforward production, which allows the playwright's words to come to the fore...Everything is highly realistic, especially the performances...'The Price' only begins to feel draining in its operatic second act...It all could easily become tedious coming from lesser actors, but it never does here. Instead, Hecht, DeVito, Ruffalo, and Shalhoub lead us in an emotional workout.",""
"2","85","Variety","Marilyn Stasio","March 16th, 2017","Still reverberates with meaning for the 2010s. Let<U+2019>s just say that the dramatic themes and human conflicts are timeless. Kinney directs a superlative cast consisting of Ruffalo, Shalhoub, Hecht, and DeVito, who make this revival a treasured experience...Under Kinney<U+2019>s measured direction, the recriminations really heat up in the galvanic second act, when kind Esther and adorable Solomon fade into the shadows and let the brothers fight their old quarrels until one or both of them falls over.",""
"3","60","Time Out New York","Adam Feldman","March 16th, 2017","It requires a level of focus that Roundabout Theatre Company<U+2019>s production, directed by Terry Kinney, only sometimes delivers...The play winds up in the pocket of Danny DeVito, making his Broadway debut as a charming old ganef of a furniture dealer...After dominating the first act, DeVito mostly disappears for the second, and the revival<U+2019>s energy flags without him. Only when he<U+2019>s onstage does 'The Price' seem right.",""
"4","70","The New York Times","Alexis Soloski","March 16th, 2017","Sympathetically directed and ardently acted, there<U+2019>s much to enjoy in this Roundabout Theater Company revival...Yet it shows 'The Price' as a smaller, more stolid work than it wants to be <U+2014> still just a little out of style...Mr. Kinney<U+2019>s quieter, more faithful style emphasizes the fine roles for actors but doesn<U+2019>t make a strong case for the play itself...If the debate is involving, it<U+2019>s not especially consequential.",""
"5","25","New Yorker","Hilton Als","March 16th, 2017","Kinney doesn<U+2019>t so much direct here as organize traffic, and most of the show takes place in a bottleneck: one watches listlessly because the script doesn<U+2019>t seem to matter much to the actors, or, when it does, they<U+2019>re using it to their own aims, as in the case of DeVito. Ruffalo is dead on his feet, and Hecht, ever needy, feels entirely lost. It<U+2019>s as if she and Shalhoub, whose insinuating sexiness fails him in this role, are waiting for the show to be over.",""
"6","90","Lighting & Sound America","David Barbour","March 24th, 2017","The power of 'The Price' lies in how a psychologically cogent conflict about love, family, and duty is folded into a larger debate about how to live one's life...Kinney has welded his four fine talents into an impressive quartet...It's long past time that 'The Price' be recognized as one of Miller's finest plays, one that stands next to his acknowledged masterpieces. In no other work of his are the battle lines so fairly drawn, the conflict so well-armed on both sides.",""
"7","90","The Huffington Post","Steven Suskin","March 16th, 2017","Scintillatingly bristling revival...It reinforces how incisive Kinney is as a director...DeVito is a marvel; if the evening weren<U+2019>t as good as it is, we might recommend it simply so you can see what Danny can do with a boiled egg...I<U+2019>ve never seen the play with four equal performances. Mr. Kinney has taken his actors<U+2014>all of whom are accomplished<U+2014>and mixed them together in such a manner that the play always comes through.",""
"8","70","DC Theatre Scene","Jonathan Mandell","March 16th, 2017","DeVito<U+2019>s character is the most enjoyable but not a central one in Miller<U+2019>s sober family drama in a cast that also includes Ruffalo, Hecht and Shalhoub. If none are at their absolute best here, that only means that all of them at one time or another have given performances that have left me in awe...The play also feels dated...People of any era should be able to respond to the themes, but the particulars, at least in this production, make it feel too distant to strike home with full force.",""
"9","60","Front Row Center","Tulis McCall","March 24th, 2017","DeVito is determined and brilliant. This is a performance that crackles. In comparison to him, all the other actors seem like they are once removed, as if they were under water. It is a startling contrast...Hard to say if it is the writing or the performances, but everyone felt out of sorts...For this writer it was uneventful bordering on confusing<U+2013>this is the part where the actors felt out of sync and the blocking was awkward.",""
"10","65","Talkin' Broadway","Matthew Murray","March 16th, 2017","Subtlety is no great hallmark of Arthur Miller's plays...This affliction is seldom more pronounced in his oeuvre than it is in his 1968 effort 'The Price,' something you're keenly aware of throughout Terry Kinney's otherwise fine revival...'The Price' feels less like a finished drama than a staged reading of a sketchbook...Good though the members of this cast might be, they fall short of that ideal and don't register as either an integrated family or an integrated ensemble.",""
"11","75","The Wall Street Journal","Terry Teachout","March 16th, 2017","Miller<U+2019>s best play<U+2014>the only one, in my opinion, that is totally successful as a work of theatrical art...The highly charged naturalism of Ruffalo<U+2019>s acting is terrifically impressive...Shalhoub leaves nothing to be desired...On the debit side, DeVito is effective enough in an obvious way, but he<U+2019>s using Solomon as a star turn...This revival isn<U+2019>t perfect, but it works<U+2014>the play comes through clearly and strongly<U+2014>and Ruffalo and Shalhoub are more than good enough to offset its forgivable flaws.",""
"12","35","The Huffington Post","Michael Glitz","March 22nd, 2017","<U+201C>It<U+2019>s a stilted work that spells out what should be implied and then does it again and again<U+2026>I imagine it wasn<U+2019>t their best night, making this post-opening performance feel more like an early preview. It didn<U+2019>t help that the direction of Terry Kinney felt particularly flat and random<U+2026>I truly had trouble understanding each of the characters<U+2026>None of the actors made much sense of their parts but I have to think the blame lies equally on the play and this staging.<U+201D>",""
"13","90","AM New York","Matt Windman","March 16th, 2017","<U+201C>A solid, unexpectedly compelling production<U+2026><U+2018>The Price<U+2019> can easily come off as slow and hokey today, but director Terry Kinney achieves a fine balance between Ruffalo, Shalhoub and Hecht<U+2019>s raw, accusatory battling and DeVito<U+2019>s spirited, minutely detailed character acting.",""
"14","80","The Hollywood Reporter","David Rooney","March 16th, 2017","Bolstered by a first-rate cast, director Terry Kinney's carefully considered production shapes all sides of the arguments into compelling drama...The writing is far from black and white on either side...However, in the fractious second act, Miller's play shows its dramaturgical weaknesses, becoming circuitous and repetitive...Still, the strong cast ensures that the drama remains riveting...A very solid, sensitively directed production of a flawed but rewarding play.",""
"15","80","New York Magazine / Vulture","Jesse Green","March 16th, 2017","Gripping if slightly muddy revival...'The Price' doesn<U+2019>t so much advance as turn like a screw, deeper and deeper into the soft wood of memory...The actors, though already powerful and moving, sometimes look as if they need more time to figure out where they are...You<U+2019>d think that a play so wordy and rangy would be unwelcome in today<U+2019>s theatrical environment, which favors large, uncomplicated, single-minded action. But that<U+2019>s why it<U+2019>s so much needed.",""
"16","55","New York Daily News","Joe Dziemianowicz","March 16th, 2017","A new Roundabout production at the American Airlines Theatre that can<U+2019>t mask the play<U+2019>s weaknesses but compensates a bit with some strong acting....The first act is a slow-mo slog...Terry Kinney guides an atmospheric, period-rich production. Acting is uneven. Ruffalo gives a lived-in, believable performance...But Shalhoub<U+2019>s mannered performance jars and gums up the works...DeVito emerges as the show<U+2019>s MVP.",""
"17","60","Times Square Chronicles","Suzanna Bowling","March 23rd, 2017","<U+201C>Ruffalo does his best Brando imitation. DeVito breaks the tension with his savagely hilarious portrayal. Hecht is perfectly needy...It is Shalhoub who you cannot take your eyes off of. His vulnerability in admitting his failure and wanting to make this relationship right are at the heart and soul of this play. Director Kinney<U+2019>s doesn<U+2019>t manage to bring this play forward. There are moments that the show seems overly long, and he doesn<U+2019>t manage to bring the actors all into the same play.",""
"18","60","Deadline","Jeremy Gerard","March 16th, 2017","'The Price' is, at best, a master<U+2019>s second-tier work <U+2013> Miller lite. Many of its qualities and all its flaws are thrown into relief in Terry Kinney<U+2019>s damask-heavy revival...Kinney is unable to establish a coherent ensemble out of these four spectacular actors, each of whom seems to be performing in a different production...They are all entertaining in their own worlds, but only Hecht brings the touch of believability.",""
"19","80","Theater In The Now","Michael Block","March 17th, 2017","This production honors Miller's text readily, proving this antique will never go out of fashion...'The Price' is a play that talks in circles with purpose. It's a captivating character study...'The Price' has a resounding relevance. Kinney keeps the play in period, yet sprinkles hints of a modern sensibility. 'The Price' is an emotionally gripping play...No doubt about it, this was an immensely talented company...It may not have been the most remarkable piece of theater, but it was riveting.",""
"20","70","CurtainUp","Elyse Sommer","March 16th, 2017","While lacking the poetry of Miller's masterwork, 'Death of a Salesman,' Terry Kinney does bring it off as a fine theatrical string quartet. His players hit the right keys to reach the big climax this sort of well-made play calls for...Terry Kinney has given 'The Price' a solid production without any attempts to intersperse trendy 'now' touches. While Mark Ruffalo's Victor is a bit too stiff as the play's most conflicted character, he does well with the wordless moments.",""
"21","70","Chicago Tribune","Chris Jones","March 16th, 2017","DeVito is offering a spectacularly funny performance in director Terry Kinney's resonant if not wholly satisfying Broadway revival of, to my mind, one of Miller's bleakest and most personal plays...I think Kinney's direction fundamentally understands the currency of this play. Hecht clearly gets the quiet trauma of what is being bought and sold, and both Ruffalo and Shalhoub have individual vulnerability, even if you don't always believe they are in this, for better or worse, as brothers.",""
"22","85","Newsday","Linda Winer","March 16th, 2017","The Roundabout Theatre has put together a splendid cast for director Terry Kinney<U+2019>s straightforward and loving revival...After radical, dazzling director-driven revivals...it feels almost novel <U+2014> at least, quietly reassuring <U+2014> to have a lesser-known Miller work presented with down-the-middle sensibilities and expert care...Miller, whose parents lost everything in the crash, knew these lives<U+2019> sore spots. And this production knows how to make them still hurt.",""
"23","60","The Wrap","Robert Hofler","March 16th, 2017","'The Price' may mark DeVito<U+2019>s Broadway debut, at age 73, but there<U+2019>s no doubt about it: He<U+2019>s a real stage animal. He even takes focus before he appears on stage...As for 'The Price,' it<U+2019>s difficult to say what director Kinney means to tell us about the play with this production<U+2019>s four diverging performances...DeVito<U+2019>s sheer presence quickly fills the void that has been Ruffalo<U+2019>s performance in the play<U+2019>s opening moments. It also throws 'The Price' off-kilter, but who<U+2019>s to complain.",""
"24","75","NorthJersey.com","Robert Feldberg","March 16th, 2017","A perfect example of how superb actors can make good theater out of a less-than-wonderful play...The brothers' confrontation, which takes up much of the second act, is more diagrammatic than dramatic...Crucially, though, we feel connected to the characters, or at least to the performances...'The Price' has more than a whiff of contrivance, but its resourceful actors manage to humanize it to a remarkable degree.",""
"25","75","Front Mezz Junkies","Steven Ross","March 16th, 2017","Mark Ruffalo returns to the Broadway stage in a part that seems tailor made to his physicality, his vocals, and his persona...Danny DeVito, coughing and hacking his way up and onto the stage, almost steals the show away from Ruffalo and Shalhoub...Hecht somehow manages to hold her own when paired with him...Roundabout has pulled out all the stops creating an atmospheric story with history, literally, hanging over their heads. It<U+2019>s a solid revival of a less than solid play.",""
"26","20","Banal, Disappointing, Insipid, Overrated, Mark ruffalo is the only actor giving a real performance  Robbie",""," May 8th, 2017","See it if you have never seen a production of  The Price  before. Another fiasco from the Roundabout.","Don't see it if you have seen a production of  The Price  before.=Also Danny DeVito does nothing but chew up the scenery. He does not have a clue (nor has the director helped him) about his character's involvement in the play. Hecht and Shalhoub are both miscast. Terry Kinney's direction (as it was for  The Babylon Line ) is meh. Read the play. You will find it more worthwhile....<U+00A0>Read more Read less="
