"","Score","Media","Reviewer","Date","Review","Review (Don't)"
"1","60","The New York Times","Ben Brantley","March 1st, 2017","Delivers on its ingenious, if limited, objective...This 'Sweeney' may raise your pulse rate....Yet unlike almost every previous 'Sweeney' I<U+2019>ve seen, this one rarely penetrates your heart and mind. What we<U+2019>re presented with is a self-contained, darkness-steeped spook house. And as with many amusement park entertainments, the jolts it elicits leave few aftershocks...It allows you to squeeze your partner<U+2019>s arm in delighted anxiety, without paying the price of insomnia to come.",""
"2","90","Theatermania","Zachary Stewart","March 1st, 2017","<U+201C>A thrillingly immersive revival, which takes an already great musical and turns it into a heart-pounding visceral experience<U+2026>Secomb combines the efficient physicality of a remorseless killer with a truly lovely singing voice<U+2026>Director Bill Buckhurst excels at drawing out suspense and tension in his staging<U+2026>Tooting Arts Club's production is full of such memorable surprises. It pulls us into the heart of the story like no other musical playing in New York right now.<U+201D>",""
"3","95","Time Out New York","David Cote","March 1st, 2017","<U+201C>This high-concept staging is a bloody wonder<U+2026>Bill Buckhurst and a hugely talented cast make this site-specific 'Sweeney' seem as natural as pie and mash<U+2026>In this claustrophobic environment, the horror and madness is palpable<U+2026>The sonic joys of Sondheim<U+2019>s richly woven score and the Grand Guignol shocks of this primal tragedy are almost unbearably intense...This thrilling, overwhelming 'Sweeney' is a full-course meal: hot from the oven and dripping blood.",""
"4","85","Variety","Marilyn Stasio","March 1st, 2017","The voices of the cast are uniformly robust. Secomb<U+2019>s piercing glare and growling baritone give the demon barber the kind of sex appeal that makes mincemeat of a lusty lady like Mrs. Lovett...This tight-knit company, some of whom have been with the show since it originated in Tooting, also has a flair for the show<U+2019>s undercurrents of black humor...All in all, this cheerily gory show is great family fun <U+2014> if your family happens to be the Munsters.",""
"5","90","New Yorker","Hilton Als","March 6th, 2017","<U+201C>Sondheim<U+2019>s mid-career masterpiece<U+2026><U+2018>Sweeney Todd<U+2019> is filled with so much wonder that, especially when you have a cast and a director as talented as those involved in this London import, it can temporarily erase the memory of the cynicism or knowingness that informs so many other current productions..The actors perform without mugging. Their characterizations are organic, and they open Sondheim<U+2019>s brilliant lyrics up to a new freshness: their interpretations are those of actors, not stars.",""
"6","80","The Huffington Post","Steven Suskin","March 3rd, 2017","This is a pint-sized production of the Stephen Sondheim-Hugh Wheeler opus...Sondheim<U+2019>s piano score for the musical is richly vibrant and as played by musical director Matt Aument, thoroughly and thrillingly fills the room...Yes, I prefer the full Jonathan Tunick treatment; but it wouldn<U+2019>t work, or fit, here...The engagement seems to be an instant hit...This pie-shop 'Sweeney Todd' makes a tasty rendition of Sondheim<U+2019>s masterwork, and serves up the show with style and thrills.",""
"7","90","DC Theatre Scene","Jonathan Mandell","March 1st, 2017","<U+201C>Secomd as Sweeney Todd and Siobh<U+00E1>n McCarthy as Mrs. Lovett are two of the four holdovers from the London production, and their simultaneously chilling and hilarious performances are reason enough to make this a must-see show<U+2026>The other four cast members are welcome additions for the New York transfer<U+2026>This production of <U+2018>Sweeney Todd<U+2019> somehow feels seminal.",""
"8","90","Lighting & Sound America","David Barbour","March 6th, 2017","In this environment, and with such a gifted company, the musical's rattling terrors and jet-black comedy are felt with a power that, for me, recalls the electrifying effect of the original, still one of the top five experiences I've had in four decades of theatregoing...Everything in Buckhurst's production is infused with imagination...Buckhurst makes judicious use of audience interaction without ever undermining the show's savage viewpoint, its cruel and sinister jokes.",""
"9","85","Theater Life","David Sheward","March 14th, 2017","A radical staging shift does not diminish its power...Places the thrilling tale...in its most logical setting<U+2014>a meat pie shop<U+2014>and the results are deliciously devilish...Buckhurst uses the intimate setting to create a terrifyingly close experience...Music director Matt Aument and his trio manage to impart the lushness of Sondheim<U+2019>s complex and gorgeous score...Jeremy Secomb is probably the most frightening Sweeney you<U+2019>ll ever see.",""
"10","90","Front Row Center","Tulis McCall","March 2nd, 2017","The intimacy of the space is captivating. The actors move in and about the tables and customers. The fourth wall comes down with a flourish and then pops back up again...These actors march through the story like an army on the move. They take no prisoners, and make you sit up and pay attention, not only through their intimacy, but through their plain old skill. This is an ensemble that cares as much about each other as they do about the story...This production is magic. Pure and fine.",""
"11","50","AM New York","Matt Windman","March 1st, 2017","The pie shop concept is cute at first, but 'Sweeney' is a heavily-plotted drama that involves many different locations. This production is awkwardly staged...At its best, 'Sweeney' can be terrifying, mesmerizing and sweeping, but this production sacrifices the storytelling and score for the sake of a gimmick. The cast is decent but not noteworthy.",""
"12","90","The Hollywood Reporter","David Rooney","March 1st, 2017","<U+201C>As a concept, it holds together remarkably well<U+2026>All these clashing sentiments burn bright in an accomplished ensemble combining London holdovers with newcomers<U+2026>The urgency and immediacy of its storytelling make it a terrific introduction to a glittering musical by a composer at the peak of his powers, and also an invigorating new spin for audiences who know and love this brilliantly conceived Victorian nightmare.",""
"13","85","New York Magazine / Vulture","Jesse Green","March 1st, 2017","The gimmick, and the close quarters it entails, make this the most frightening 'Sweeney Todd' I<U+2019>ve seen...The director Bill Buckhurst frequently has his cast bellowing in a space that doesn<U+2019>t require it. It<U+2019>s very effective, if at a cost to beauty...The score is a marvel of ingenious counterprogramming. That<U+2019>s what makes the thrills thrill. The new production unfortunately flattens some of these effects...Still, when a production gets more than halfway there, it<U+2019>s plenty. This one does.",""
"14","60","New York Daily News","Joe Dziemianowicz","March 1st, 2017","<U+201C>The show is intimate, inventive and as in-your-face as it gets...Reprising lead roles, Jeremy Secomb brings unblinking intensity as the titular throat-slitting barber, while Siobhan McCarthy is deftly daft as the baker who grinds victims into meat pies. Amid the atmosphere, narrative clarity can come out underbaked. Who<U+2019>s that  Wasn<U+2019>t the oven over there  And in a musical about justice, the singing doesn<U+2019>t always do that to the majestic score.",""
"15","65","Deadline","Jeremy Gerard","March 1st, 2017","<U+201C>While I am no fan of these mini-Sondheims, there are many pleasures to recommend this revival, adroitly staged by Bill Buckhurst in Simon Kenny<U+2019>s uncanny setting. Atop the menu are Jeremy Secomb, truly, mesmerizingly terrifying in the title role<U+2026>The other roles are superbly cast as well<U+2026>Benjamin Cox<U+2019>s arrangements for trio have their charms, but power doesn<U+2019>t figure in the mix...This 'Sweeney Todd' provides delectable finger food  when what you really want is the full meal.",""
"16","90","CurtainUp","Elyse Sommer","March 1st, 2017","<U+201C>Brilliantly inventive<U+2026>Director Bill Buckhurst's approach is great fun<U+2026>Everything about this propulsive staging works beautifully...A bigger orchestra could hardly top the effectiveness of this production's chamber sized threesome<U+2026>None of this clever immersiveness would work without a cast who can deliver on all counts. And the Brits who pioneered the London hit do so with flying colors, as do the Americans who have now joined them.",""
"17","75","Newsday","Linda Winer","March 1st, 2017","<U+201C>Just 10 actors play all the characters with creep-fest glee, if not always vocally astonishing power. Jeremy Secomb<U+2019>s baritone is a little light for Sweeney<U+2019>s deepest dark heart<U+2026>Sondheim<U+2019>s score is expertly reduced to just a piano, strings and wind trio. Somehow, Sondheim<U+2019>s restless chromatics, the difficult disjunct vocal lines, the extended song forms and, especially, the wrenchingly beautiful choral writing are approached with the affection and awe they deserve.",""
"18","85","NorthJersey.com","Robert Feldberg","March 3rd, 2017","<U+201C>A riotously entertaining evening you won<U+2019>t soon forget<U+2026>The brilliance of the work, directed by Bill Buckhurst, is that while it generates plenty of laughs, it never loses touch with the terror of the story<U+2026>The production is a marvel of site-specific theater, using the audience to help tell the story in a tightly packed room in which sounds and lights are pretty much the only staging aids<U+2026>It<U+2019>s theater-in-the-small, but it has a big impact.",""
"19","89","Front Mezz Junkies","Steven Ross","March 1st, 2017","<U+201C>Piping hot and tasty is this inventive revival<U+2026>Once the lights go out, the show kicks in with full force. From the first note sung, we know we are in for a solid fantastic meal here<U+2026>This production is filled to the brim with great voices, creativity, and a perfectly cast group of actors. Not one bad ingredient in the lot<U+2026>The whole production is more fun and startling, rather than dark and moody which works so well in the environmental set-up.",""
"20","93","Bob's Theater Blog","Robert Sholiton","March 2nd, 2017","With his dead eyes, hollow cheeks and slicked-back hair, Jeremy Secomb is a very scary Todd. Any vocal shortcomings are more than made up for by his commanding presence. Siobhan McCarthy is as fine a Mrs. Lovett as I have seen...Kudos to director Bill Buckhurst for holding everything together. It<U+2019>s a unique theatrical experience that I highly recommend. I also suggest ordering the pre-show pot pie and mash for $20 with beverage.",""
"21","80","WNBC","Robert Kahn","March 1st, 2017","<U+201C>Secomb<U+2019>s performance is threatening and physical, and you<U+2019>ll wow at the way he becomes unbuttoned and lost in the world during the macabre and cherished first act climax<U+2026>All the familiar numbers are well-executed<U+2026>Candlelight, a three-person orchestra give the production its atmosphere without any extravagant pyrotechnics<U+2026>Here, we get a new twist on an old favorite, a particularly satisfying staging that<U+2019>s a treat for all of the senses, even taste.",""
"22","90","CitiTour","Brian Scott Lipton","March 1st, 2017","<U+201C>Buckhurst manages to find the perfect, and sometimes elusive, mix of macabre, mirth, and melodrama<U+2026>Yep, you<U+2019>ll laugh, you<U+2019>ll gasp<U+2026>And you<U+2019>ll leave humming every bit of Sondheim<U+2019>s magnificently diverse score, and immediately want to go back for seconds. (Even the three-piece orchestra is sufficiently wonderful!) Much of the credit for the production<U+2019>s success belongs to the stunningly chosen eight-person cast.",""
"23","90","NY1","Roma Torre","March 2nd, 2017","It's a stripped-down production featuring a lean and very mean company of performers that sing their guts out, and they kill it!...The intimate space lets us hear Sondheim's gloriously complex score loud and clear, and it gives us new appreciation for his searing lyrics. And when Sweeney starts slashing throats and his accomplice Mrs. Lovett cooks up the corpses into meat pies, it's especially ghoulish as the audience is thrust right into the middle of the action.",""
"24","90","Theater Pizzazz","Sandi Durell","March 1st, 2017","<U+201C>It<U+2019>s all so cleverly conceived<U+2026>The spectacular London cast has been joined by the heart rending Matt Doyle <U+2026>You won<U+2019>t miss a beat of the exciting Sondheim brilliance that continuously pulsates in this operetta enveloping the audience<U+2026>The direction by Bill Burkhurst will knock your socks off<U+2026>Having seen two revivals of this remarkable Sondheim work, I can honestly say this one is the best of the lot in my opinion.",""
"25","95","NJ.com","Christopher Kelly","March 1st, 2017","The real wonder of all this is that it never feels gimmicky -- just a full-on, assault-all-your-senses immersion into one of the greatest musicals ever crafted...Occasionally you may yearn for a little more distance from the action. But Buckhurst, Secomb and the smashing Siobhan McCarthy have succeeded in restoring all the intensity and Grand Guignol creepiness to a musical thriller that can devolve into kitsch. See this once-in-a-lifetime production at all costs.",""
"26","85","Absorbing, Ambitious, Masterful, Refreshing  beteshe116",""," April 27th, 2017","See it if You're a fan of the show and want to see an immersive take on it. The pie shop setting is really interesting and original!","Don't see it if The dark material disturbs you, you're not a fan of musicals or you are only a fan of traditionally done theater=Also All of the actors were fantastic except unfortunately the actor who played Sweeney Todd, Norm Lewis. He was distractingly bad and his singing also did not really fit with the role. If you really want to see the production at its best, buy tickets for after he leaves....<U+00A0>Read more Read less="
"27","87","Ambitious, Intelligent, Quirky, Entertaining, Great staging  eortiz1296",""," April 27th, 2017","See it if you like unconventional staging, Stephen Sondheim, clever lyrics, and wonderfully dark musicals","Don't see it if you dislike small spaces, audience interaction, or trekking to the Village="
"28","90","Funny, Epic, Riveting, Great writing, Great staging  Lori 629934",""," April 24th, 2017","See it if you want to see a new, immersive take on a great classic musical; you love Sondheim; you've never seen this show before.","Don't see it if you like your musicals with happy endings.="
"29","65","Clever, Quirky, Disappointing, Overrated, Unevenly cast  Randy",""," April 24th, 2017","See it if You can overlook some sub-par singing and acting.","Don't see it if You prefer a reasonably sized orchestra for  Sweeney  or you dislike audience interaction.="
"30","88","Ambitious, Clever, Great acting, Great singing, Great staging  Elisha",""," April 23rd, 2017","See it if You want a really remarkable, beautifully performed<U+200B> production of Sweeney Todd with creative, immersive<U+200B> staging","Don't see it if You are adverse to being touched or having to shift focus. If you're not a fan of the show=Also I sat in the mezzanine, which really is partial view. I feel like I missed a lot not being in the full price seats, but it was still worth it...<U+00A0>Read more Read less="
"31","86","Absorbing, Ambitious, Quirky, Great singing, Great staging  Jen6044",""," April 22nd, 2017","See it if You want to see an very innovative, fun set. If you want to see this famous Sondheim musical. A great production! Well staged","Don't see it if It's dark! Not for kids. Wouldn't want to explain the plot to them! Do not see it if you don't like plays about murderers.=Also They don't give out the programs until the show is over. Not sure I like this new trend which also recently was done at The Antipodes. So if you are curious to learn about the actors before the show you'll have to Google it. The seating is nontraditional. I sat at the tables. It was often hard to see the action. I think that the traditional seats in the back and in the mezzanine would have offered better sightlines....<U+00A0>Read more Read less="
"32","90","Must see, Riveting, Entertaining, Great singing, Great staging  Brett G",""," April 22nd, 2017","See it if want a totally immersive theater experience. An in your face, fantastically sung version of the classic show. Best Sweeny I've seen","Don't see it if don't want to be right on top of the cast, want a full orchestra (it has a 3 piece band)="
"33","100","Ambitious, Masterful, Great writing, Great singing, Great staging  John 2376",""," April 20th, 2017","See it if you enjoy Sondheim and want to experience this classic play in a unique setting: a pie shop. A wonderfully immersive experience indeed.","Don't see it if aren't into Sondheim's intricate and clever lyrics nor like immersive, involving theater. Stay home and listen to the CD or watch the movie="
"34","95","Absorbing, Ambitious, Edgy, Must see, Great staging  TheaterGeekNYC",""," April 19th, 2017","See it if Sweeney staged in a pie shop, fantastic actors and works really well. in the small space. Intimate and thrilling!","Don't see it if Intimacy with actors and in your face staging throws you off.="
"35","90","Funny, Absorbing, Entertaining, Great singing  Britney",""," April 18th, 2017","See it if You love Sondheim and want to see his music performed by amazing vocal artists in an immersive setting. Definitely try for a main floor seat","Don't see it if You don't like dark comedy or small spaces.="
